MOF,n_metal,n_unique_metal,n_unique_ox_state,min_max_proba,max_max_proba,metal,ox_state,LS,tot_LS,HS,total_M_HS,IS,toal_M_IS
qmof-0bc984a,4,1,1,0.980095367869951,0.98107687331301,Co,2,1,4,3,12,,
qmof-0c21f93,4,1,1,0.58285523738742,0.58285523738742,Co,2,1,4,3,12,,
qmof-0cebdfd,2,1,1,0.981969257804775,0.981969257804775,Co,2,1,2,3,6,,
qmof-0d0bec4,1,1,1,0.852862486097394,0.852862486097394,Co,2,1,1,3,3,,
qmof-0d326c4,1,1,1,0.877371402749924,0.877371402749924,Co,2,1,1,3,3,,
qmof-0dcbcaa,2,1,1,0.924299175703273,0.958140559072488,Co,2,1,2,3,6,,
qmof-0e3b79a,4,1,1,0.913172876706278,0.913172876706278,Co,2,1,4,3,12,,
qmof-0ea1d91,2,1,1,0.880232577218452,0.880232577218452,Co,2,1,2,3,6,,
qmof-0ec2ee1,4,1,1,0.921170386952976,0.921170386952976,Co,2,1,4,3,12,,
qmof-0f835bb,4,1,1,0.961840755212679,0.961840755212679,Co,2,1,4,3,12,,
qmof-0fbdbe2,2,1,1,0.900189966275225,0.900189966275225,Co,2,1,2,3,6,,
qmof-0ff1453,8,1,1,0.935895295305348,0.983576117030104,Co,2,1,8,3,24,,
qmof-1023a71,12,1,1,0.955388849793668,0.987053989904606,Co,2,1,12,3,36,,
qmof-1105864,2,1,1,0.973904173302114,0.973904173302114,Co,2,1,2,3,6,,
qmof-110e680,2,1,1,0.94844273107549,0.958015480669608,Co,2,1,2,3,6,,
qmof-1258c57,4,1,1,0.978621626563984,0.978621626563984,Co,2,1,4,3,12,,
qmof-1265040,2,1,1,0.846796629194921,0.846796629194921,Co,2,1,2,3,6,,
qmof-1278662,1,1,1,0.891288289455997,0.891288289455997,Co,2,1,1,3,3,,
qmof-12930dd,3,1,1,0.971805765373127,0.971834342138486,Co,2,1,3,3,9,,
qmof-12b0750,2,1,1,0.986089421487189,0.986089421487189,Co,2,1,2,3,6,,
qmof-12ba7bc,2,1,1,0.988760449991219,0.988760449991219,Co,2,1,2,3,6,,
qmof-12fd885,4,1,1,0.736512071833052,0.748051116685057,Co,3,0,0,4,16,2,8
qmof-136ec9b,4,1,1,0.897736373682855,0.940123293408233,Co,2,1,4,3,12,,
qmof-13889cb,3,1,1,0.857285957690361,0.857285957690361,Co,2,1,3,3,9,,
qmof-13989ad,3,1,1,0.850230420602835,0.850230420602835,Co,2,1,3,3,9,,
qmof-1406ccc,2,1,1,0.98856175009072,0.98856175009072,Co,2,1,2,3,6,,
qmof-145a0bf,2,1,1,0.828642598415561,0.828642598415561,Co,2,1,2,3,6,,
qmof-14733c4,2,1,1,0.977931137474033,0.977931137474033,Co,2,1,2,3,6,,
qmof-14b40ea,3,1,1,0.90200754444052,0.90200754444052,Co,2,1,3,3,9,,
qmof-14eb177,2,1,1,0.96561126494021,0.96561126494021,Co,2,1,2,3,6,,
qmof-15415b4,3,1,1,0.962316022561168,0.98107687331301,Co,2,1,3,3,9,,
qmof-155cb35,2,1,1,0.979901798396853,0.979901798396853,Co,2,1,2,3,6,,
qmof-1580a8b,1,1,1,0.862816671185701,0.862816671185701,Co,2,1,1,3,3,,
qmof-15eff87,2,1,1,0.987845986559143,0.987845986559143,Co,2,1,2,3,6,,
qmof-16367a4,1,1,1,0.957265579101506,0.957265579101506,Co,2,1,1,3,3,,
qmof-16e1497,6,1,1,0.96117753990615,0.988979996854205,Co,2,1,6,3,18,,
qmof-17096b3,2,1,1,0.969102791826356,0.969102791826356,Co,2,1,2,3,6,,
qmof-1741e10,2,1,1,0.878638570855272,0.878638570855272,Co,2,1,2,3,6,,
qmof-175655f,1,1,1,0.888312512109167,0.888312512109167,Co,2,1,1,3,3,,
qmof-182e007,12,1,1,0.84821969977355,0.989814344186366,Co,2,1,12,3,36,,
qmof-186abaa,2,1,1,0.980564048856873,0.980564048856873,Co,2,1,2,3,6,,
qmof-18c6d13,8,1,1,0.97556303470608,0.995058640733295,Co,2,1,8,3,24,,
qmof-191e06e,6,1,1,0.972979037311991,0.981752449392124,Co,2,1,6,3,18,,
qmof-19ecdb0,1,1,1,0.836995056073452,0.836995056073452,Co,2,1,1,3,3,,
qmof-1a422b8,2,1,1,0.969472946027688,0.969472946027688,Co,2,1,2,3,6,,
qmof-1a7f459,2,1,1,0.85425139131867,0.85425139131867,Co,2,1,2,3,6,,
qmof-1adadbf,4,1,1,0.980201965640989,0.980201965640989,Co,2,1,4,3,12,,
qmof-1aeca7d,1,1,1,0.980225871447368,0.980225871447368,Co,2,1,1,3,3,,
qmof-1afa76c,2,1,1,0.961770591578163,0.961770591578163,Co,2,1,2,3,6,,
qmof-1b756ab,2,1,1,0.980753715116631,0.980753715116631,Co,2,1,2,3,6,,
qmof-1c152b7,1,1,1,0.808597762129088,0.808597762129088,Co,2,1,1,3,3,,
qmof-1c732af,2,1,1,0.839922955166881,0.839922955166881,Co,2,1,2,3,6,,
qmof-1c91623,2,1,1,0.979648579087814,0.979648579087814,Co,2,1,2,3,6,,
qmof-1d2e262,2,1,1,0.960580267755895,0.960580267755895,Co,2,1,2,3,6,,
qmof-1d6569c,6,1,1,0.933902133542506,0.968851610724183,Co,2,1,6,3,18,,
qmof-1d78da0,2,1,1,0.985609968825336,0.985609968825336,Co,2,1,2,3,6,,
qmof-1d99f5f,2,1,1,0.927823966316581,0.929182800028878,Co,2,1,2,3,6,,
qmof-1e1bf28,1,1,1,0.693965842156691,0.693965842156691,Co,2,1,1,3,3,,
qmof-1f0ad0a,2,1,1,0.981616013366558,0.981616013366558,Co,2,1,2,3,6,,
qmof-1f1fa29,2,1,1,0.93767658764397,0.980451112844126,Co,2,1,2,3,6,,
qmof-1f21a3f,6,1,1,0.826311839356532,0.826311839356532,Co,2,1,6,3,18,,
qmof-1f43ca5,6,1,1,0.981434641354445,0.981434641354445,Co,2,1,6,3,18,,
qmof-204daad,12,1,1,0.987041397075683,0.989702279713607,Co,2,1,12,3,36,,
qmof-20f108f,2,1,1,0.985880289496532,0.985880289496532,Co,2,1,2,3,6,,
qmof-210f8d2,4,1,1,0.923399272626624,0.988154076374332,Co,2,1,4,3,12,,
qmof-213cb46,2,1,1,0.991409028476773,0.991409028476773,Co,2,1,2,3,6,,
qmof-222f47b,8,1,1,0.852382687691757,0.880910730114399,Co,2,1,8,3,24,,
qmof-22767fa,4,1,1,0.900988428984287,0.900988428984287,Co,2,1,4,3,12,,
qmof-22994eb,4,1,1,0.987767456838752,0.990357301155476,Co,2,1,4,3,12,,
qmof-22abcf3,1,1,1,0.824282108250807,0.824282108250807,Co,2,1,1,3,3,,
qmof-22c2e9c,4,1,1,0.991473830158456,0.991473830158456,Co,2,1,4,3,12,,
qmof-22ff445,2,1,1,0.988807369268916,0.988807369268916,Co,2,1,2,3,6,,
qmof-2315a54,2,1,1,0.986455527843212,0.986455527843212,Co,2,1,2,3,6,,
qmof-248f738,2,1,1,0.505763662904622,0.959729030223564,Co,2,1,2,3,6,,
qmof-24c3847,2,1,1,0.969242230362235,0.971998749854973,Co,2,1,2,3,6,,
qmof-2605824,2,1,1,0.960286372419519,0.963154534422856,Co,2,1,2,3,6,,
qmof-261717e,6,1,1,0.987281942486772,0.987731415795535,Co,2,1,6,3,18,,
qmof-264d2ec,4,1,1,0.888774262930945,0.888774262930945,Co,2,1,4,3,12,,
qmof-26b69bc,8,1,1,0.975908333003056,0.990189814528618,Co,2,1,8,3,24,,
qmof-26c54ef,2,1,1,0.985795526150814,0.985795526150814,Co,2,1,2,3,6,,
qmof-26df13b,6,1,1,0.978049686220073,0.978049686220073,Co,2,1,6,3,18,,
qmof-275c155,4,1,1,0.983070745355866,0.98516320714169,Co,2,1,4,3,12,,
qmof-27ecb45,1,1,1,0.774209283909532,0.774209283909532,Co,2,1,1,3,3,,
qmof-2805614,2,1,1,0.957076610698842,0.958191684932462,Co,2,1,2,3,6,,
qmof-28cf744,12,1,1,0.885663042450843,0.957405227437283,Co,2,1,12,3,36,,
qmof-28e1e79,4,1,1,0.986598341354732,0.986598341354732,Co,2,1,4,3,12,,
qmof-29040b3,4,1,1,0.974368677428449,0.974957329466234,Co,2,1,4,3,12,,
qmof-29090e7,1,1,1,0.866172629517871,0.866172629517871,Co,2,1,1,3,3,,
qmof-295b93d,4,1,1,0.930781907567692,0.958391320492665,Co,2,1,4,3,12,,
qmof-299e646,2,1,1,0.840876884087259,0.840876884087259,Co,2,1,2,3,6,,
qmof-29b54a6,8,1,1,0.936198262443684,0.979062295801483,Co,2,1,8,3,24,,
qmof-2a2a9c6,2,1,1,0.980185028603795,0.980185028603795,Co,2,1,2,3,6,,
qmof-2a8957f,1,1,1,0.859670050944992,0.859670050944992,Co,2,1,1,3,3,,
qmof-2aa8eb1,2,1,1,0.526048084021619,0.64193094236996,Co,2,1,2,3,6,,
qmof-2b2d255,6,1,1,0.637139726704355,0.919801091054542,Co,2,1,6,3,18,,
qmof-2b54738,6,1,1,0.937505136903012,0.961476696241787,Co,2,1,6,3,18,,
qmof-2b5499a,2,1,1,0.989070400297647,0.989070400297647,Co,2,1,2,3,6,,
qmof-2b58edc,3,1,1,0.84901155926089,0.988960305370313,Co,2,1,3,3,9,,
qmof-2b9efc6,16,1,1,0.962647488804818,0.985570012624031,Co,2,1,16,3,48,,
qmof-2ba0cce,2,1,1,0.916194972784894,0.916194972784894,Co,2,1,2,3,6,,
qmof-2bd31fe,2,1,1,0.988595132949158,0.988595132949158,Co,2,1,2,3,6,,
qmof-2bd5e0f,8,1,1,0.988172749869048,0.990647490135044,Co,2,1,8,3,24,,
qmof-2c173c2,4,1,1,0.885666436237407,0.885666436237407,Co,2,1,4,3,12,,
qmof-2d0fa88,4,1,1,0.99140850452733,0.99140850452733,Co,2,1,4,3,12,,
qmof-2d787b0,2,1,1,0.884575583915623,0.884575583915623,Co,2,1,2,3,6,,
qmof-2d8d50c,4,1,1,0.73622966275017,0.73622966275017,Co,2,1,4,3,12,,
qmof-2dc3acb,2,1,1,0.900189966275225,0.900189966275225,Co,2,1,2,3,6,,
qmof-2de35b5,1,1,1,0.892745837202795,0.892745837202795,Co,2,1,1,3,3,,
qmof-2e02fed,2,1,1,0.973287084684789,0.973287084684789,Co,2,1,2,3,6,,
qmof-2e18852,1,1,1,0.940986569282637,0.940986569282637,Co,2,1,1,3,3,,
qmof-2e6cac6,1,1,1,0.906031706051039,0.906031706051039,Co,2,1,1,3,3,,
qmof-2ebec34,4,1,1,0.978132686559212,0.978132686559212,Co,2,1,4,3,12,,
qmof-2f1a847,2,1,1,0.827605353723032,0.827605353723032,Co,2,1,2,3,6,,
qmof-2f3b6d6,6,1,1,0.540391873130344,0.844888597865497,Co,2,1,6,3,18,,
qmof-2f4f5e2,4,1,1,0.9685253103384,0.981007046960303,Co,2,1,4,3,12,,
qmof-2fa85e9,2,1,1,0.988560723581319,0.988560723581319,Co,2,1,2,3,6,,
qmof-2fd64af,3,1,1,0.96260045912907,0.981434641354445,Co,2,1,3,3,9,,
qmof-2fe9d9b,4,1,1,0.9873191565849,0.9873191565849,Co,2,1,4,3,12,,
qmof-2ff52f1,4,1,1,0.874176791420386,0.983315710145158,Co,2,1,4,3,12,,
qmof-3015833,2,1,1,0.988579077979106,0.988579077979106,Co,2,1,2,3,6,,
qmof-306aa03,4,1,1,0.838326253406196,0.961484036065729,Co,2,1,4,3,12,,
qmof-30885c7,4,1,1,0.885301903831744,0.885301903831744,Co,2,1,4,3,12,,
qmof-3104826,2,1,1,0.991702923813149,0.991702923813149,Co,2,1,2,3,6,,
qmof-310ec70,2,1,1,0.798866972350214,0.822926778028018,Co,2,1,2,3,6,,
qmof-315acfe,4,1,1,0.988878618354485,0.988878618354485,Co,2,1,4,3,12,,
qmof-31eab7b,4,1,1,0.98107687331301,0.98107687331301,Co,2,1,4,3,12,,
qmof-32457b4,2,1,1,0.978271363179479,0.978271363179479,Co,2,1,2,3,6,,
qmof-32a2afb,3,1,1,0.985738188874,0.985738188874,Co,2,1,3,3,9,,
qmof-32ac742,2,1,1,0.98015721750775,0.981434641354445,Co,2,1,2,3,6,,
qmof-330a403,2,1,1,0.98107687331301,0.98107687331301,Co,2,1,2,3,6,,
qmof-334586a,2,1,1,0.850847883239766,0.850847883239766,Co,2,1,2,3,6,,
qmof-337495d,4,1,1,0.886848602169278,0.886848602169278,Co,2,1,4,3,12,,
qmof-33fad02,4,1,1,0.98107687331301,0.98107687331301,Co,2,1,4,3,12,,
qmof-3404b3b,4,1,1,0.940957024239765,0.940957024239765,Co,2,1,4,3,12,,
qmof-343c776,4,1,1,0.961190140729353,0.961190140729353,Co,2,1,4,3,12,,
qmof-3486c54,4,1,1,0.988690472208948,0.988690472208948,Co,2,1,4,3,12,,
qmof-34c6dd2,4,1,1,0.82095747495366,0.833834584108838,Co,2,1,4,3,12,,
qmof-351413a,3,1,1,0.947613475135331,0.977861160166162,Co,2,1,3,3,9,,
qmof-35562f1,2,1,1,0.940959349946922,0.940959349946922,Co,2,1,2,3,6,,
qmof-3597a65,2,1,1,0.834759598513959,0.834759598513959,Co,2,1,2,3,6,,
qmof-35eaaa6,4,1,1,0.985797885815705,0.991223180443618,Co,2,1,4,3,12,,
qmof-365cf98,1,1,1,0.882121875675781,0.882121875675781,Co,2,1,1,3,3,,
qmof-3788637,2,1,1,0.991798655353732,0.991798655353732,Co,2,1,2,3,6,,
qmof-37f4f13,2,1,1,0.960174781309403,0.960174781309403,Co,2,1,2,3,6,,
qmof-38220b3,2,1,1,0.898733978856923,0.898733978856923,Co,2,1,2,3,6,,
qmof-384cd6b,4,1,1,0.949959370409957,0.949959370409957,Co,2,1,4,3,12,,
qmof-38716ea,2,1,1,0.968465144814711,0.968465144814711,Co,2,1,2,3,6,,
qmof-39217f4,8,1,1,0.963921675444642,0.980632484856239,Co,2,1,8,3,24,,
qmof-3a15a51,2,1,1,0.889612013344396,0.889612013344396,Co,2,1,2,3,6,,
qmof-3a8aeef,2,1,1,0.707870827407192,0.707870827407192,Co,2,1,2,3,6,,
qmof-3a8fabc,2,1,1,0.985169183555061,0.985169183555061,Co,2,1,2,3,6,,
qmof-3af1f54,2,1,1,0.980125741811374,0.980125741811374,Co,2,1,2,3,6,,
qmof-3b0015d,4,1,1,0.987034902494086,0.987034902494086,Co,2,1,4,3,12,,
qmof-3c5b84b,2,1,1,0.971189970044163,0.971189970044163,Co,2,1,2,3,6,,
qmof-3cf8e56,12,1,1,0.98128015314434,0.988690941428344,Co,2,1,12,3,36,,
qmof-3d44993,1,1,1,0.866110909811349,0.866110909811349,Co,2,1,1,3,3,,
qmof-3d4b29f,2,1,1,0.986043710518034,0.986043710518034,Co,2,1,2,3,6,,
qmof-3d5971c,2,1,1,0.980388793986931,0.980388793986931,Co,2,1,2,3,6,,
qmof-3d85a5e,4,1,1,0.952562353217031,0.952562353217031,Co,2,1,4,3,12,,
qmof-3db5bfd,1,1,1,0.98015721750775,0.98015721750775,Co,2,1,1,3,3,,
qmof-3e1c72a,4,1,1,0.979518883762382,0.979518883762382,Co,2,1,4,3,12,,
qmof-3e210ac,1,1,1,0.90223102921835,0.90223102921835,Co,2,1,1,3,3,,
qmof-3eba276,2,1,1,0.98822462055427,0.98822462055427,Co,2,1,2,3,6,,
qmof-3f10a21,2,1,1,0.97338325403799,0.97338325403799,Co,2,1,2,3,6,,
qmof-3f4a719,6,1,1,0.991409028476773,0.991409028476773,Co,2,1,6,3,18,,
qmof-3f76144,4,1,1,0.98062267439766,0.981385836370268,Co,2,1,4,3,12,,
qmof-3fbd724,2,1,1,0.988776504961271,0.988776504961271,Co,2,1,2,3,6,,
qmof-3fdcc06,4,1,1,0.988595132949158,0.988595132949158,Co,2,1,4,3,12,,
qmof-402d188,4,1,1,0.981434117405001,0.98831334460806,Co,2,1,4,3,12,,
qmof-4033975,1,1,1,0.783855464660796,0.783855464660796,Co,2,1,1,3,3,,
qmof-403e9cb,2,1,1,0.956175378689994,0.980451112844126,Co,2,1,2,3,6,,
qmof-4070708,4,1,1,0.9820498073239,0.9820498073239,Co,2,1,4,3,12,,
qmof-4097e0e,1,1,1,0.931095181775536,0.931095181775536,Co,2,1,1,3,3,,
qmof-4107527,4,1,1,0.980185028603795,0.980185028603795,Co,2,1,4,3,12,,
qmof-4124b8d,1,1,1,0.990274222738259,0.990274222738259,Co,2,1,1,3,3,,
qmof-412a7c1,12,1,1,0.909847740561261,0.909847740561261,Co,2,1,12,3,36,,
qmof-417cefc,2,1,1,0.988561192800715,0.988561192800715,Co,2,1,2,3,6,,
qmof-419f835,1,1,1,0.849987027202408,0.849987027202408,Co,2,1,1,3,3,,
qmof-41a421b,1,1,1,0.590372261802541,0.590372261802541,Co,2,1,1,3,3,,
qmof-41aaa63,2,1,1,0.961483512116286,0.961483512116286,Co,2,1,2,3,6,,
qmof-41cbe0b,1,1,1,0.842541898124824,0.842541898124824,Co,2,1,1,3,3,,
qmof-4234b3d,8,1,1,0.95386790759084,0.969992903070191,Co,2,1,8,3,24,,
qmof-42b6d9f,6,1,1,0.953700142678556,0.953700142678556,Co,2,1,6,3,18,,
qmof-4324443,2,1,1,0.978330426802395,0.978330426802395,Co,2,1,2,3,6,,
qmof-43de2f1,1,1,1,0.984208238668819,0.984208238668819,Co,2,1,1,3,3,,
qmof-43f82df,4,1,1,0.988961331879714,0.989466308684711,Co,2,1,4,3,12,,
qmof-44487d9,4,1,1,0.892240842698102,0.892240842698102,Co,2,1,4,3,12,,
qmof-444b94b,6,1,1,0.917905111246662,0.941292798114053,Co,2,1,6,3,18,,
qmof-44aa83b,2,1,1,0.82154550259992,0.82154550259992,Co,3,0,0,4,8,2,4
qmof-44b1658,4,1,1,0.990768965003427,0.990768965003427,Co,2,1,4,3,12,,
qmof-44ccf24,4,1,1,0.753199477072074,0.944015040071291,Co,2,1,4,3,12,,
qmof-44da106,2,1,1,0.931389077111912,0.931389077111912,Co,2,1,2,3,6,,
qmof-458a962,1,1,1,0.910610806347817,0.910610806347817,Co,2,1,1,3,3,,
qmof-45a18aa,3,1,1,0.907052358328819,0.907052358328819,Co,2,1,3,3,9,,
qmof-45e3866,8,1,1,0.818389523326049,0.985651129966688,Co,2,1,8,3,24,,
qmof-461e88d,3,1,1,0.988579077979106,0.988872973315482,Co,2,1,3,3,9,,
qmof-466d3a2,2,1,1,0.982593370111508,0.982593370111508,Co,2,1,2,3,6,,
qmof-46b501d,4,1,1,0.989759908990351,0.989759908990351,Co,2,1,4,3,12,,
qmof-46c4388,1,1,1,0.900189966275225,0.900189966275225,Co,2,1,1,3,3,,
qmof-472da64,8,1,1,0.883077441183096,0.888965470039323,Co,2,1,8,3,24,,
qmof-4745e52,1,1,1,0.911319248250586,0.911319248250586,Co,2,1,1,3,3,,
qmof-47c58b4,4,1,1,0.96117753990615,0.96117753990615,Co,2,1,4,3,12,,
qmof-47dde23,4,1,1,0.98467988992158,0.98467988992158,Co,2,1,4,3,12,,
qmof-483810b,4,1,1,0.988888175366379,0.988888175366379,Co,2,1,4,3,12,,
qmof-48426ba,3,1,1,0.819921784253457,0.979340821367862,Co,2,1,3,3,9,,
qmof-4877fcf,2,1,1,0.937436825614984,0.961476696241787,Co,2,1,2,3,6,,
qmof-48a32b2,2,1,1,0.980570165999044,0.980570165999044,Co,2,1,2,3,6,,
qmof-49849ba,6,1,1,0.960105044805796,0.988960305370313,Co,2,1,6,3,18,,
qmof-4994fff,6,1,1,0.977695700864489,0.987211801842919,Co,2,1,6,3,18,,
qmof-4a4f095,4,1,1,0.897227942111872,0.985554224029342,Co,2,1,4,3,12,,
qmof-4a8b72e,1,1,1,0.848727525065346,0.848727525065346,Co,2,1,1,3,3,,
qmof-4aae0f6,4,1,1,0.975246561910749,0.975246561910749,Co,2,1,4,3,12,,
qmof-4b1ef88,3,1,1,0.857285957690361,0.857285957690361,Co,2,1,3,3,9,,
qmof-4b3fafd,2,1,1,0.978898486337676,0.986920003218878,Co,2,1,2,3,6,,
qmof-4bb9ee9,1,1,1,0.922645109219145,0.922645109219145,Co,3,0,0,4,4,2,2
qmof-4c18ced,2,1,1,0.860462038070606,0.860462038070606,Co,2,1,2,3,6,,
qmof-4c64da3,2,1,1,0.841313910954725,0.959699606490191,Co,2,1,2,3,6,,
qmof-4c69dae,8,1,1,0.98107687331301,0.98107687331301,Co,2,1,8,3,24,,
qmof-4c6c409,4,1,1,0.882976324530156,0.882976324530156,Co,2,1,4,3,12,,
qmof-4e42f7a,2,1,1,0.80063270217511,0.80063270217511,Co,2,1,2,3,6,,
qmof-4e696ce,10,1,1,0.692313930124784,0.989827432727414,Co,2,1,10,3,30,,
qmof-4e8726d,2,1,1,0.960806817680167,0.960806817680167,Co,2,1,2,3,6,,
qmof-4ea4482,12,1,1,0.977573659214271,0.981728012741377,Co,2,1,12,3,36,,
qmof-4ee0d95,2,1,1,0.681333425191471,0.681333425191471,Co,2,1,2,3,6,,
qmof-4f2905b,1,1,1,0.780881315145743,0.780881315145743,Co,2,1,1,3,3,,
qmof-508b13f,2,1,1,0.98107687331301,0.98107687331301,Co,2,1,2,3,6,,
qmof-50bd2e1,2,1,1,0.98794858522089,0.98794858522089,Co,2,1,2,3,6,,
qmof-50c5905,2,1,1,0.522241205627613,0.922349554458302,Co,2,1,2,3,6,,
qmof-50eb695,8,1,1,0.933474154713093,0.963154534422856,Co,2,1,8,3,24,,
qmof-50f1fb4,4,1,1,0.991798655353732,0.991798655353732,Co,2,1,4,3,12,,
qmof-511ea8e,4,1,1,0.961556742745421,0.961556742745421,Co,2,1,4,3,12,,
qmof-51d789e,2,1,1,0.981434641354445,0.981616013366558,Co,2,1,2,3,6,,
qmof-51e0230,6,1,1,0.977149271572955,0.982650278421218,Co,2,1,6,3,18,,
qmof-5263eb0,2,1,1,0.98107687331301,0.98107687331301,Co,2,1,2,3,6,,
qmof-52799e2,6,1,1,0.977876593359525,0.97929570746195,Co,2,1,6,3,18,,
qmof-52875a0,2,1,1,0.955051615802711,0.955051615802711,Co,2,1,2,3,6,,
qmof-540bb65,2,1,1,0.981370768649385,0.981370768649385,Co,2,1,2,3,6,,
qmof-542a344,1,1,1,0.886838171260925,0.886838171260925,Co,2,1,1,3,3,,
qmof-547262c,1,1,1,0.854403723662028,0.854403723662028,Co,2,1,1,3,3,,
qmof-5533340,2,1,1,0.745501149539945,0.745501149539945,Co,2,1,2,3,6,,
qmof-555bddc,2,1,1,0.816617193260373,0.816617193260373,Co,2,1,2,3,6,,
qmof-556d95b,3,1,1,0.962384738969564,0.97397322209064,Co,2,1,3,3,9,,
qmof-55e2cda,2,1,1,0.984743608306069,0.984743608306069,Co,2,1,2,3,6,,
qmof-56c40ef,4,1,1,0.983020844361479,0.983020844361479,Co,2,1,4,3,12,,
qmof-56e0e0d,4,1,1,0.98028237818291,0.98028237818291,Co,2,1,4,3,12,,
qmof-573e052,4,1,1,0.977968891823921,0.977968891823921,Co,2,1,4,3,12,,
qmof-57e6787,2,1,1,0.990245944818981,0.990245944818981,Co,2,1,2,3,6,,
qmof-59396ea,8,1,1,0.963446408096153,0.963446408096153,Co,2,1,8,3,24,,
qmof-59424b3,3,1,1,0.84883638520861,0.980868104178638,Co,2,1,3,3,9,,
qmof-59f5198,4,1,1,0.985979522634742,0.98902658154644,Co,2,1,4,3,12,,
qmof-59fd38f,2,1,1,0.919931520740238,0.919931520740238,Co,2,1,2,3,6,,
qmof-5a081d6,3,1,1,0.905355995056892,0.905355995056892,Co,2,1,3,3,9,,
qmof-5aed73f,8,1,1,0.988579077979106,0.991788095777937,Co,2,1,8,3,24,,
