cif_file,formula,volume,density,n_atoms,metal,CN_metal,spacegroup,spg_number
qmof-d30da48.cif,Mn2 H50 C48 N4 O8,1077.793626,1.418674937,112,Mn,6,P-1,2
qmof-ea9f3ea.cif,Ni6 H6 C24 O18,1347.496111,1.151541313,54,Ni,5,R3m,160
qmof-2a2a9c6.cif,Co2 H32 C32 N4 O8,719.084531,1.659154308,78,Co,6,P-1,2
qmof-0125ba9.cif,Mn2 H24 C48 N16 O4,1086.386134,1.526488134,94,Mn,6,C2/c,15
qmof-f818993.cif,Ni2 H21 C23 N5 O8,761.7988711,1.335818993,59,Ni,6,C2,5
qmof-c00d6a1.cif,Mn2 H30 C40 N10 O14,964.993078,1.694279765,96,Mn,6,P1,1
qmof-015591d.cif,Co1 H24 C18 N8 O4,503.4138234,1.568026861,55,Co,6,P-1,2
qmof-a2d74ff.cif,Mn6 H84 C60 N16 O44,2593.458416,1.320908798,210,Mn,6,Pc,7
qmof-e0e1070.cif,Fe4 H32 C48 N8 O18,1371.124588,1.492279002,110,Fe,6,P-1,2
qmof-b0a3596.cif,Co2 H26 C36 N4 O12,803.106293,1.704727417,80,Co,5,P-1,2
qmof-b5b3f3e.cif,Co10 H12 C36 N36 Cl8,2534.043881,1.193731055,102,Co,4.4,C2/m,12
qmof-e78085a.cif,Co4 P2 H44 C22 N2 O12,756.6622991,1.813299958,86,Co,5.5,P2_1,4
qmof-c645675.cif,Ni4 H104 C104 N16 O32,2740.306259,1.408755492,260,Ni,6,P2_12_12,18
qmof-f0bdd71.cif,Mn6 H24 C8 N40 Cl4 O4,1111.403374,1.816789219,86,Mn,6,P2_1/c,14
qmof-56e0e0d.cif,Co4 H80 C96 S4 N32 O16,2933.236866,1.303109364,232,Co,6,P2_1/c,14
qmof-f547638.cif,Co2 H14 C14 N2 O12,418.3148485,2.064717722,44,Co,7,C2/c,15
qmof-735cade.cif,Ni2 H24 C16 O12,535.9914723,1.628783504,54,Ni,6,C2/c,15
qmof-9e26cd7.cif,Mn2 H38 C36 N12 O10,956.9001634,1.576787189,98,Mn,6,P-1,2
qmof-9c0d1a4.cif,Ni6 H24 C42 O30,1456.935202,1.550949054,102,Ni,6,C2,5
qmof-34417cf.cif,Mn1 H28 C46 N8 O4,851.8030432,1.582367925,87,Mn,6,P-1,2
qmof-b8ca403.cif,Ni6 H6 C24 O18,1290.423809,1.202471181,54,Ni,5,R-3,148
qmof-7e5ffee.cif,Ni2 H40 C44 N8 O10,1005.189273,1.582952026,104,Ni,6,P-1,2
qmof-d4eb674.cif,Mn6 H96 C128 S4 N20 O36,3411.982334,1.434793248,290,Mn,5.333333333,P2_1/c,14
qmof-8f9170f.cif,Mn3 H28 C24 N2 O22,726.1208501,1.969660328,79,Mn,5.333333333,P-1,2
qmof-f27022b.cif,Fe3 H42 C30 N12,792.5535333,1.546805266,87,Fe,4,C2,5
qmof-897ea77.cif,Co4 H68 C120 N12 O24,3453.603554,1.104727917,228,Co,4,P2_1/c,14
qmof-e7ef967.cif,Mn2 H50 C58 N10 O12,1329.385539,1.485125017,132,Mn,6,P-1,2
qmof-295b93d.cif,Co4 Te24 H96 C120 N24 Cl8,3531.576434,2.565381566,276,Co,6,P1,1
qmof-d4b9216.cif,Co2 H38 C52 N6 O10,1077.478899,1.579290208,108,Co,5,P-1,2
qmof-80b8de3.cif,Mn6 H88 C104 N4 O40,2633.202809,1.490424036,242,Mn,6,C2/c,15
qmof-996e2da.cif,Mn1 H16 C14 N2 O8,364.957899,1.798245879,41,Mn,6,P-1,2
qmof-0fac6c2.cif,Mn2 H4 C12 S2 O8,345.8846438,2.161156005,28,Mn,6,P-1,2
qmof-c0dbd72.cif,Co12 P8 H28 C12 N4 O40,1444.096632,2.096626006,104,Co,5.333333333,P-1,2
qmof-1d6569c.cif,Co6 H60 C56 N40 O8,1778.923834,1.656818459,170,Co,6,P2_1/c,14
qmof-3d5971c.cif,Co2 H32 C40 N12 O10,948.7820549,1.677762264,96,Co,6,P-1,2
qmof-12930dd.cif,Co3 H84 C126 S6 N30,3532.593497,1.122229466,249,Co,6,P-1,2
qmof-aed9055.cif,Mn12 H120 C204 S24 O60,6704.162979,1.228510487,420,Mn,5.5,P2_1,4
qmof-837df85.cif,Mn4 H64 C92 O32,2134.797074,1.478856855,192,Mn,6,Pna2_1,33
qmof-8a1e648.cif,Mn2 H20 C24 Br4 N4 O12,690.2600481,2.371817388,66,Mn,6,P2_1/c,14
qmof-9fe4370.cif,Co2 H52 C60 N8 O14,1345.187098,1.514604,136,Co,4,P-1,2
qmof-86c6bbb.cif,Co2 P2 H30 C20 N4 O12,789.2068009,1.469235577,70,Co,6,P1,1
qmof-f621a85.cif,Co8 H88 C88 N8 O72,2787.348926,1.716400161,264,Co,6,P1,1
qmof-32d0b5f.cif,Ni12 H72 C120 N12 O52,4857.646106,1.100119144,268,Ni,6,I-43m,217
qmof-eb6f49c.cif,Co4 H28 C48 Br8 N8 O18,1577.737439,1.978394785,114,Co,6,C2/c,15
qmof-19e56ac.cif,Mn4 H16 C32 N32,1070.223862,1.657765087,84,Mn,6,P2_1/c,14
qmof-884095d.cif,Co2 H40 C38 N4 O8,836.7364212,1.584880702,92,Co,6,P-1,2
qmof-ad44d4e.cif,Ni2 H16 C20 N16,574.6035489,1.727675443,54,Ni,6,P-1,2
qmof-903f166.cif,Mn2 H12 C16 Br4 N8,556.300996,2.226223313,42,Mn,6,P-1,2
qmof-d76f8fd.cif,Mn6 H132 C150 N24 O24,4268.647206,1.160967079,336,Mn,6,C2/c,15
qmof-03660e7.cif,Mn8 H48 C28 O24,1007.27666,1.991721536,108,Mn,5.5,P2_1/c,14
qmof-0bc984a.cif,Co4 H34 C56 N6 O16,1856.861348,1.147022337,116,Co,5.5,P-1,2
qmof-14291f8.cif,Fe3 H84 C66 S6 N30,1848.362786,1.489070292,189,Fe,6,R-3,148
qmof-05b4924.cif,Ni2 H32 C28 N8 O12,810.2745314,1.618962497,82,Ni,6,P2_1/c,14
qmof-8f1ddfa.cif,Ni2 H32 C30 N12 O8,790.5598477,1.693049211,84,Ni,6,Cc,9
qmof-b038868.cif,Mn1 H28 C24 N14,628.1784451,1.500169477,67,Mn,6,P-1,2
qmof-00f4cb5.cif,Co1 P4 H26 C16 N4 O12,590.6829191,1.825115039,63,Co,6,P-1,2
qmof-937be3d.cif,Ni4 H36 C36 N8 O16,1169.76066,1.521036576,100,Ni,6,P2_12_12,18
qmof-ef2e56c.cif,Ni2 H36 C34 N4 O10,843.9733338,1.530847473,86,Ni,6,P-1,2
qmof-e90fcf1.cif,Co1 H24 C24 S2 N6 O6,607.4289754,1.682731876,63,Co,6,P-1,2
qmof-954922b.cif,Co4 H12 C28 N4 O16,713.2662529,2.086294628,64,Co,5,Pna2_1,33
qmof-0fcda30.cif,Mn2 H12 C24 N8 O16,637.7490639,2.026426094,62,Mn,6,P1,1
qmof-f719f24.cif,Mn6 H48 C84 N12 O26,3778.199206,0.866253333,176,Mn,6,P6_3/mmc,194
qmof-ebb5bae.cif,Mn4 H44 C84 S2 N16 O20,1975.98383,1.58090793,170,Mn,6,P-1,2
qmof-573e052.cif,Co4 H36 C60 N20 O16,1991.900844,1.274464671,136,Co,5,P2_1/c,14
qmof-efc74fb.cif,Fe6 H12 C24 O18,1339.40141,1.144810283,60,Fe,6,P1,1
qmof-a7e6a8e.cif,Mn4 H32 C16 O28,810.4868251,1.827873799,80,Mn,6,P4_3,78
qmof-5c9f89c.cif,Co20 H112 C148 N20 O76,4294.375069,1.765270767,376,Co,5.4,P-1,2
qmof-ac01f2d.cif,Ni4 H44 C20 S4 N4 O28,952.266567,2.008143954,104,Ni,6,P2_1/c,14
qmof-c59d8b8.cif,Fe2 H32 C28 S4 N28,994.0272609,1.671671424,94,Fe,6,Pc,7
qmof-92a9fd3.cif,Ni4 P2 H38 C36 N4 O16,1078.905349,1.661339237,100,Ni,6,P1,1
qmof-6270723.cif,Mn2 H22 C30 N2 O10,869.4191019,1.299483978,66,Mn,6,P-1,2
qmof-c3de041.cif,Ni2 H24 C16 S4 N4 O8,591.5941706,1.813335962,58,Ni,6,P2_1,4
qmof-8742974.cif,Co2 H36 C54 N4 O12,1084.274096,1.609197176,108,Co,6,P1,1
qmof-64b57c5.cif,Co2 H12 C6 N8 Cl4,352.9843202,2.144643696,32,Co,6,P-1,2
qmof-bca8d34.cif,Mn2 H40 C52 N4 Cl4 O12,1246.498729,1.551412248,114,Mn,6,C2/c,15
qmof-12544e7.cif,Mn1 H44 C32 N2 O4,980.1599785,0.975222481,83,Mn,6,P-1,2
qmof-f322a23.cif,Co6 H164 C176 S4 N32 O32,4393.156143,1.406565976,414,Co,5.333333333,P1,1
qmof-aa7cb37.cif,Co18 H64 C88 N36 O40,3791.009819,1.457058799,246,Co,5.555555556,C2/c,15
qmof-9507439.cif,Co4 H88 C128 N16 O24,4369.673224,0.93859543,260,Co,6,C2/c,15
qmof-0e3b79a.cif,Co4 H28 C20 N20 O24,859.2873395,2.257672074,96,Co,6,P2_1/c,14
qmof-4c18ced.cif,Co2 H36 C40 N12 O10,951.8164622,1.679447337,100,Co,6,P-1,2
qmof-050c6ef.cif,Mn1 H28 C32 O10,696.9746102,1.495008396,71,Mn,6,P-1,2
qmof-b505ebc.cif,Mn2 H20 C12 O10,367.1836278,1.963418539,44,Mn,6,P2_1,4
qmof-84941c7.cif,Ni2 H28 C28 N16 O16,825.9019657,1.934187283,90,Ni,6,P2_1/c,14
qmof-755582e.cif,Mn2 H24 C40 N12 O16,1006.953971,1.712668658,94,Mn,6,C2/c,15
qmof-1c2aa47.cif,Mn1 H16 C18 S2 N4 O8,492.0574049,1.806839387,49,Mn,6,P-1,2
qmof-5d6869e.cif,Ni4 H32 C36 N8 O24,1250.673138,1.587221172,104,Ni,6,C2/c,15
qmof-2bb1085.cif,Mn1 H8 C6 N12,266.3642064,1.889841197,27,Mn,6,P1,1
qmof-65f6051.cif,Co1 H28 C26 N10,655.2520287,1.3672022,65,Co,6,P-1,2
qmof-46e0444.cif,Ni4 H120 C108 N16 O24,2684.199902,1.398717356,272,Ni,6,P1,1
qmof-1fe98cd.cif,Ni4 H40 C64 N16 O16,1897.672825,1.333449905,140,Ni,6,P4_32_12,96
qmof-75a2dcd.cif,Co4 H28 C32 N4 O20,854.5816052,1.99034309,88,Co,6,P-1,2
qmof-d832b38.cif,Mn2 H28 C40 N4 O8,952.358909,1.399328527,82,Mn,6,P-1,2
qmof-c17855f.cif,Co2 H40 C56 N4 O8,1380.813495,1.220384702,110,Co,6,P1,1
qmof-50eb695.cif,Co8 H28 C40 N4 O28,1367.788115,1.801776884,108,Co,5.5,P-1,2
qmof-d28d5ec.cif,Mn3 H12 C12 O18,576.1059889,1.755428987,45,Mn,6,R-3,148
qmof-79ff2bd.cif,Co2 H28 C40 N2 O14,844.2673855,1.727911853,86,Co,5,P-1,2
qmof-1ebd4e7.cif,Ni4 H52 C44 N12 O24,1392.524953,1.630963909,136,Ni,6,P2_1/c,14
qmof-b760bf5.cif,Fe4 P4 H36 C8 N8 O16 F4,649.5247119,2.361439848,80,Fe,6,P-1,2
qmof-2c3d85b.cif,Mn2 H34 C14 Br4 N2 O8,631.5318855,2.071744469,64,Mn,6,P2_1,4
qmof-f754d4b.cif,Mn2 H10 C20 N4 Cl4 O10,755.6255206,1.577859431,50,Mn,7,P-1,2
qmof-19ecdb0.cif,Co1 H22 C22 S2 N8 O6,646.8226322,1.585321034,61,Co,6,P-1,2
qmof-7dd9b74.cif,Ni2 H56 C44 S4 N12 O8,1456.480601,1.284484083,126,Ni,6,C2/c,15
qmof-97c430f.cif,Fe2 H8 C16 O10,423.6624566,1.849678818,36,Fe,6,P-1,2
qmof-8bcdd4b.cif,Mn1 H16 C20 N6 O10,498.709928,1.849009521,53,Mn,6,P-1,2
qmof-fbc8a6c.cif,Co1 H20 C16 O10,409.5079034,1.748731624,47,Co,6,P-1,2
qmof-df7fc19.cif,Mn4 H48 C32 S8 N8 O16,1151.462354,1.841635819,116,Mn,6,P2_12_12_1,19
qmof-d4bbd73.cif,Co4 H56 C104 S2 N8 O16 F24,2569.742838,1.569867831,214,Co,5,P2/c,13
qmof-5843876.cif,Mn2 H36 C44 N8 O10,1022.746298,1.537037754,100,Mn,6,P-1,2
qmof-ba345d3.cif,Mn2 H36 C28 N4 O16 F8,908.3376603,1.730241699,94,Mn,6,P2_1/c,14
qmof-e74a5a6.cif,Co2 H32 C16 N12 O8,604.1270102,1.754653863,70,Co,6,C2/c,15
qmof-09eb351.cif,Ni2 H38 C34 N10 O10,980.8846099,1.46285701,94,Ni,6,P1,1
qmof-4324443.cif,Co2 H22 C30 N4 O10,661.4341871,1.798488447,68,Co,5,P-1,2
qmof-419d66a.cif,Mn4 H16 C16 O16,455.5758837,2.493276196,52,Mn,6,P-1,2
qmof-5c0fddb.cif,Co2 H40 C52 N8 O14,1174.709434,1.58148656,116,Co,4,P-1,2
qmof-b7815da.cif,Co4 P8 H80 C96 O16,2601.054615,1.259694925,204,Co,4,P2_1/c,14
qmof-7301cfb.cif,Co4 H48 C50 N32 O8,1674.743665,1.448468003,142,Co,6,P-1,2
qmof-d571bd8.cif,Co4 H32 C48 N8 O16,1315.199791,1.530928961,108,Co,6,P2_1,4
qmof-c861c48.cif,Fe6 H96 C144 N60,4084.39837,1.220391421,306,Fe,6,C2/c,15
qmof-13463bb.cif,Ni4 H62 C30 N12 Cl6,1156.365018,1.491120277,114,Ni,6,P-1,2
qmof-633a43e.cif,Mn1 H24 C26 S2 N6 O2,604.1563365,1.570990649,61,Mn,6,P-1,2
qmof-d484021.cif,Mn12 H96 C144 N24 O48,3693.794215,1.613739902,324,Mn,6,P2_1/c,14
qmof-8b9c6cf.cif,Ni2 H16 C24 N8 O4,565.2652836,1.756178117,54,Ni,6,P2_1/c,14
qmof-1d2e262.cif,Co2 H12 C12 N16 O8,500.4642694,2.077704893,50,Co,6,C2/c,15
qmof-d5e2472.cif,Ni2 H28 C18 N12 O16,662.0122557,1.971220338,76,Ni,6,P-1,2
qmof-d88d13b.cif,Co2 H16 C16 O12,423.5676704,2.031365273,46,Co,6,P-1,2
qmof-03cca0a.cif,Co4 H36 C52 N8 O16,1287.366948,1.631197145,116,Co,5,P2_1/c,14
qmof-91eae4e.cif,Ni1 P2 H38 C24 S4 N4 O4,810.3257331,1.425202295,77,Ni,6,P-1,2
qmof-6d28282.cif,Fe6 H48 C72 N12 O24,3755.122229,0.796098657,162,Fe,6,P1,1
qmof-26c54ef.cif,Co2 H24 C32 N4 O8,784.1263711,1.504454448,70,Co,6,Cc,9
qmof-a950972.cif,Mn4 H84 C80 N8 O24,2071.114209,1.412153546,200,Mn,6,P2_1/c,14
qmof-7f04d5c.cif,Co2 H40 C28 S2 N4 Cl4 O4,820.9684597,1.659490382,84,Co,6,C2/c,15
qmof-e89cb56.cif,Ni2 P4 H56 C36 S8 N4 O8,1323.208186,1.469093228,118,Ni,6,C2/c,15
qmof-cf09259.cif,Co3 H72 C120 N24,2862.940743,1.17557699,219,Co,6,R-3,148
qmof-337495d.cif,Co4 H44 C72 N4 O16,1793.611434,1.348781054,140,Co,5,C2/c,15
qmof-77f07ab.cif,Fe1 H16 C8 S2 N2 Cl2 O2,348.9788922,1.727759034,33,Fe,6,P1,1
qmof-1c5a2db.cif,Mn1 H16 C8 S2 N2 Cl2 O2,363.154065,1.656171463,33,Mn,6,P-1,2
qmof-1f08cd7.cif,Ni8 H48 C72 O32,1874.908332,1.678049701,160,Ni,6,P-1,2
qmof-9e620c1.cif,Mn2 H32 C48 N4 O8,1111.887901,1.348078143,94,Mn,6,C2,5
qmof-e397c42.cif,Co4 H48 C68 N12 O16,1919.6473,1.319084215,148,Co,4.25,P1,1
qmof-5dfc500.cif,Ni3 H144 C72 N18 O12,2718.259693,0.995805134,249,Ni,6,R-3,148
qmof-0c21f93.cif,Co4 H28 C40 S4 N8,897.5003726,1.821868148,84,Co,4,P-1,2
qmof-82ad652.cif,Co4 H36 C64 N8 O16 F12,1893.945368,1.435020917,140,Co,6,P2_1/c,14
qmof-1d06df3.cif,Ni2 H64 C76 N24 Cl4,1925.802477,1.356057128,170,Ni,6,C2/c,15
qmof-7672d8f.cif,Co2 H8 C12 N4 O20,471.2410758,2.276604684,46,Co,6,C2/c,15
qmof-041dd8f.cif,Mn4 H56 C20 O32,948.027008,1.801303601,112,Mn,6,P-1,2
qmof-6f69f19.cif,Co1 H12 C12 N8 Cl2,426.7572127,1.549096163,35,Co,6,P-1,2
qmof-90ea100.cif,Fe8 H64 C96 N32,4682.707057,0.749119035,200,Fe,4,P2_1/c,14
qmof-173e029.cif,Ni9 H21 C15 Cl3 O33,910.6995873,2.486902331,81,Ni,6,P1,1
qmof-4ef6d73.cif,Mn4 H36 C52 N8 O26,1584.262727,1.476452817,126,Mn,6,P-1,2
qmof-cf4c03c.cif,Co3 H44 C64 N2 O18,1535.503311,1.412170363,131,Co,5.333333333,P-1,2
qmof-792ee15.cif,Co2 H36 C52 N4 O12,1080.329581,1.578150196,106,Co,6,P1,1
qmof-c5000eb.cif,Co4 B4 H64 C60 N32 O8,2473.937254,1.101015358,172,Co,6,C2/c,15
qmof-c7376df.cif,Co4 H60 C104 N8 O16 F24,2501.70733,1.57267043,216,Co,5,Pc,7
qmof-6b0ca56.cif,Co3 P4 H30 C14 N4 O20,772.4633116,1.881168277,75,Co,6,P-1,2
qmof-292f4be.cif,Mn4 H20 C40 N12 O16,1919.515395,0.990008809,92,Mn,5,P2_1/c,14
qmof-b38dbf6.cif,Co5 H34 C44 N12 O24,1543.763263,1.516090322,119,Co,6,P-1,2
qmof-d851c65.cif,Mn2 H8 C10 N4 O10,356.4339617,2.11538954,34,Mn,6,P2_1,4
qmof-4cc3c71.cif,Ni4 H28 C12 N4 Cl8 O8,643.8623311,2.25605727,64,Ni,6,Pna2_1,33
qmof-3b5c6a2.cif,Mn3 H42 C56 N4 O12,1159.016839,1.615766164,117,Mn,6,P1,1
qmof-cc16ed1.cif,Co8 H120 C144 N16 O32,4607.952041,1.102009469,320,Co,5,P2/c,13
qmof-d812e1d.cif,Co12 H32 C56 N8 O40,2429.103067,1.479369675,148,Co,6,P1,1
qmof-13dee69.cif,Mn2 H40 C40 N10 O4,977.2165021,1.418344033,96,Mn,6,P2_1,4
qmof-d5c7d8e.cif,Mn4 H136 C152 N16 Cl8,4070.205502,1.097528114,316,Mn,6,C2/c,15
qmof-38e0c3c.cif,Mn8 H128 C192 N16 O32,4526.387592,1.324598698,376,Mn,6,P2_1/c,14
qmof-83a307d.cif,Ni8 H24 C48 O26,4301.707005,0.5737147,106,Ni,4,Fm-3m,225
qmof-fc2015a.cif,Ni4 H36 C36 N4 O20,986.6836343,1.816676097,100,Ni,6,Pnma,62
qmof-94a3110.cif,Co4 H24 C32 O18,829.1824362,1.866954343,78,Co,5.5,P-1,2
qmof-c20a6d8.cif,Cr2 H10 C16 O10,413.6114086,1.871815926,38,Cr,6,P-1,2
qmof-e6c4516.cif,Co8 H48 C60 N12 O32,2166.906229,1.471751784,160,Co,6,P2_1/c,14
qmof-b87071b.cif,Ni2 H26 C36 S1 N4 O10,1087.358275,1.258454455,79,Ni,6,C2,5
qmof-a62e471.cif,Co2 H8 C12 N12 O8,487.2220415,1.929484703,42,Co,4,C2/c,15
qmof-1afa76c.cif,Co2 H32 C32 N4 O8,691.6963114,1.724849732,78,Co,6,P2_1/c,14
qmof-38220b3.cif,Co2 H24 C24 N16 O4,636.3379943,1.874730223,70,Co,6,P2_1/c,14
qmof-b727e60.cif,Co2 H24 C24 O12,588.7786641,1.755098141,62,Co,6,P2_1/c,14
qmof-b80a30e.cif,Ni4 H44 C68 S4 N20 O16,2036.585571,1.435215373,156,Ni,6,C2/c,15
qmof-b4bad2f.cif,Co4 H72 C80 N16 O16,2100.704505,1.382732004,188,Co,4,P2_1/c,14
qmof-5ea1778.cif,Mn8 H56 C40 O36,1227.360497,2.100236074,140,Mn,6,Pbcm,57
qmof-572876c.cif,Ni8 H176 C212 N16 O64,5749.243136,1.282763981,476,Ni,6,P-1,2
qmof-8333f8b.cif,Ni2 H42 C54 N14 O10,1724.985308,1.120883892,122,Ni,6,P1,1
qmof-098256e.cif,Co2 H40 C52 S2 N4 O12,1226.288302,1.482610249,112,Co,5,P-1,2
qmof-666050e.cif,Mn2 H20 C32 O16,782.2147378,1.635389344,70,Mn,6,P-1,2
qmof-b5258da.cif,Co4 H24 C16 O24,612.592048,2.266343061,68,Co,6,P2_12_12_1,19
qmof-3a15a51.cif,Co2 H32 C24 N4 Cl4 O8,732.3583934,1.732761831,74,Co,6,P2_1/c,14
qmof-7f0e6bf.cif,Ni4 H26 C38 N14 O2,951.8073389,1.649498961,84,Ni,5,C2/c,15
qmof-89d2f92.cif,Co3 H2 C8 O10,326.1823615,2.213977,23,Co,6,C2,5
qmof-52875a0.cif,Co2 H16 C8 Cl4 O4,356.2649261,2.031662526,34,Co,6,P1,1
qmof-23e95ee.cif,Ni6 H84 C144 N12 O26,2982.050414,1.531564109,272,Ni,6,P1,1
qmof-832a1ad.cif,Mn1 H4 C6 S2 N4,220.9817631,1.887541033,17,Mn,6,C2/m,12
qmof-6f58bfd.cif,Ni1 H12 C16 O12,378.5541091,1.995663715,41,Ni,6,P-1,2
qmof-be3ffea.cif,Co1 H20 C32 Br4 N8 O8,833.9464701,2.03717654,73,Co,6,P-1,2
qmof-45e3866.cif,Co8 H54 C76 N18 O30,2542.088562,1.418013152,186,Co,5.25,P1,1
qmof-f3bdfdf.cif,Co4 H72 C82 N8 O32,2316.266693,1.374458526,198,Co,5,P2/c,13
qmof-8528641.cif,Co12 H108 C144 N16 O36,7299.290948,0.76111997,316,Co,6,P-3c1,165
qmof-3dbdebd.cif,Mn2 H24 C32 O12,723.2735695,1.630987328,70,Mn,4,P-1,2
qmof-2b19e65.cif,Mn2 H24 C16 N20,600.6598278,1.676330097,62,Mn,6,P2_1/c,14
qmof-a3ce047.cif,Ni1 H18 C8 O8,270.9399061,1.844263702,35,Ni,6,P-1,2
qmof-9883216.cif,Ni2 H36 C36 N8 O10,901.7419088,1.580183414,92,Ni,6,P-1,2
qmof-523c57d.cif,Mn4 H36 C44 N8 O20,1506.795859,1.340678957,112,Mn,6,I4_122,98
qmof-fbd118f.cif,Fe2 H32 C28 N4 O12,690.3581853,1.75171332,78,Fe,6,P2_1/c,14
qmof-7d5de5b.cif,Ni4 H80 C72 N8 O24,2192.745969,1.269379208,188,Ni,6,P1,1
qmof-2a3337e.cif,Mn2 H4 C8 N2 O10,256.9831536,2.571748193,26,Mn,6,P-1,2
qmof-85110e8.cif,Ni6 H84 C144 N12 O26,6190.625526,0.737760888,272,Ni,6,P-1,2
qmof-dbfc0f0.cif,Co2 H40 C32 N4 O12,782.2482904,1.678153239,90,Co,6,P-1,2
qmof-d12d0a0.cif,Co4 H84 C68 N8 O16,1757.408489,1.422205384,180,Co,5,P2_1,4
qmof-61fda9f.cif,Mn2 H32 C36 N4 O12,814.7823525,1.676339024,86,Mn,6,P-1,2
qmof-19d7f26.cif,Mn1 H24 C26 S2 N14,697.9550548,1.550326301,67,Mn,6,P-1,2
qmof-041ffc3.cif,Co2 H28 C36 N4 O10,919.5691179,1.434682266,80,Co,6,P1,1
qmof-27ecb45.cif,Co1 H26 C34 N14 Cl2,784.0432368,1.610683282,77,Co,6,P-1,2
qmof-02e961c.cif,Ni3 H48 C78 N12 O12,7892.380753,0.320092624,153,Ni,6,P6,168
qmof-a0ed1a6.cif,Mn2 H24 C20 N4 O12,528.9130643,1.953731052,62,Mn,6,C2/c,15
qmof-4745e52.cif,Co1 H28 C14 N2 O12,486.2307609,1.623248474,57,Co,6,P-1,2
qmof-1d99f5f.cif,Co2 H28 C40 N4 O10,772.9001677,1.81015157,84,Co,6,P-1,2
qmof-e02c627.cif,Co4 H56 C104 N8 O18 F24,2523.166688,1.577700563,214,Co,5,P2/c,13
qmof-6e18d70.cif,Co2 H36 C42 N4 O10,945.0801918,1.536742308,94,Co,6,P-1,2
qmof-843e83f.cif,Ni4 H48 C32 N32,1270.867468,1.457809422,116,Ni,6,P2_12_12_1,19
qmof-95ecaaa.cif,Fe2 H56 C52 S2 N8 O8,1231.193098,1.479374134,128,Fe,6,P-1,2
qmof-579a1f8.cif,Mn2 H32 C32 S2 N8 O8,824.6388722,1.672646172,84,Mn,6,P-1,2
qmof-444b94b.cif,Co6 H58 C48 N24,2411.168266,0.912326503,136,Co,4,P1,1
qmof-dbedd04.cif,Co2 H8 C8 N16,353.8834179,2.093356603,34,Co,6,P-1,2
qmof-4bb9ee9.cif,Co1 H48 C38 N4 O4,1005.514562,1.129158992,95,Co,6,P-1,2
qmof-4f2b4da.cif,Mn4 H56 C32 N8 O24,1211.556761,1.585186691,124,Mn,6,Pbcn,60
