mof,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all
qmof-5d05c82,3.5344,31.584,29.6852,60.348,729,1053,999,2025,1,5,6,11,25,55,85,150,1.5876,4.6242,5.796,10.4454,0,-7.4,-4.51,-11.42,0,96,125,222,0,0,0,0,0,14,13,25,0,2.63,2.96,5.57,238.8417,497.6792,793.8338,948.06,1026,2186,3254,3432,35,74,118,144,192,476,680,750,15.4043,36.6374,54.6678,62.3304,11.3152,10.41632,21.4336,21.1488,61,56.6,116.2,97.8,1,1.2,2.2,2.6,1.6,4.4,7.2,8.4,0.53882,0.67768,1.2195,1.29686,33.424,75.588,114.784,149.2835684,0,0.81,0.908,2.124,0,1.8,2,7.2,0,0,0,0,0,-1.8,-2.4,-3,0,-0.036,-0.04,0.156,0,-5.58,-6.36,-9.424266,9.2416,20.1248,37.1184,47.728,49,108.5,199.5,185.5,1,2.5,4.5,6.5,6.5,18.5,34.5,38.5,0.5625,1.43625,2.57625,3.00375,54.76,194.62,333,417.861535,0,0.98,1.47,4.06,0,2,3,19,0,0,0,0,0,-0.5,-1,2.5,0,-0.04,-0.06,0.87,0,-7.8,-11.7,-8.367775
qmof-9f43bb6,2.4025,30.752,43.183,45.043,625,1150,1300,1700,1,6,12,10,36,108,132,132,1.9321,6.1438,9.0906,10.4806,0,-10.54,-9.26,-13.56,0,104,248,182,0,0,0,0,0,18,50,38,0,3.92,10.14,6.36,109.7738,204.8232,348.7476,360.179,717,1524,1752,1536,15,30,48,54,78,186,240,222,7.3066,16.5874,23.6948,23.4798,10.5376,8.3136,23.9716,23.212,56.5,85,130,97,1,1,2.5,3,1,3.5,5.5,7,0.5477,0.66105,1.39145,1.4171,41.425,93.22,141.655,176.862614,0,0.675,0.935,2.22,0,-3.5,2,9,0,0,0,0,0,-2.5,-3,-4,0,-0.155,-0.04,0.32,0,-9,-6.9,-7.00711,10.1078666666667,16.985,26.0121333333333,19.866,128,245.333333333333,181.333333333333,138.666666666667,1,2,2.66666666666667,2.66666666666667,6,10.6666666666667,11.3333333333333,14.6666666666667,0.702066666666667,1.5028,1.60886666666667,1.52466666666667,144.18,244.44,223.526666666667,284.291956,0,-0.276666666666667,0.613333333333334,1.46,0,6,8,19.3333333333333,0,0,0,0,0,1.33333333333333,-0.666666666666667,0,0,0.18,0.14,0.546666666666667,0,7.4,1.4,7.32859333333333
qmof-cd363bf,3.5344,37.2992,35.6824,36.6036,729,1242,1512,891,1,6,8,7,36,90,132,72,1.5876,5.5692,7.4844,5.1282,0,-8.56,-3.94,-6.31,0,116,160,156,0,0,0,0,0,21,26,30,0,3.14,4.14,4.75,99.3101,178.0566,309.9318,277.459,662,1416,1620,1366,13,26,40,38,66,150,178,154,6.6296,14.9762,20.1584,17.8092,10.7968,10.72176,31.00944,26.85328,58,105.6,164.4,140.8,1,1.4,3.4,3,2.2,7.2,10.6,8.6,0.54474,0.92628,1.76424,1.54476,38.758,146.396,193.5495684,161.9135684,0,1.142,1.6,1.208,0,-3.4,4,3.2,0,0,0,0,0,-2.6,-1.8,-1,0,-0.214,0.126,0.142,0,-14.94,-8.504266,-5.384266,4.7961,28.1853,12.2421,17.0601,225,450,195,210,1,4,2,3,16,24,20,24,1.1236,3.1376,1.6112,2.0034,625,680,467.5,580.17775,0,-4.11,-1.21,-1.22,0,30,17,31,0,0,0,0,0,10,3,6,0,1.28,0.6,1.29,0,72.8,31.3,51.79289
qmof-bce77ec,3.5344,30.832,28.764,53.6176,729,1026,972,1350,1,5,6,11,25,60,90,115,1.5876,4.6494,5.8212,8.5554,0,-7,-4.02,-7.84,0,97,126,247,0,0,0,0,0,13,12,32,0,2.61,2.94,7.07,172.64185,358.3109,566.557,641.973,725.5,1538,2152,1992,25,52,83,100,135,334,475,482,10.6753,25.1668,37.1583,39.6352,10.9696,11.016,23.8602666666667,16.5093333333333,59,60,109.666666666667,80.3333333333333,1,1.33333333333333,2.66666666666667,2,2,6,8,7.33333333333333,0.542766666666667,0.759733333333333,1.295,1.03446666666667,36.98,95.6733333333333,127.015076,118.844204666667,0,0.92,1.31666666666667,1.63,0,2,5.66666666666667,5,0,0,0,0,0,-2,-1.33333333333333,-3,0,-0.04,0.22,0.066666666666667,0,-6.6,-3.37140666666667,-8.33570333333334,10.4347428571429,18.4010031746032,29.8502222222222,21.4325079365079,55.9047619047619,99.1746031746032,122.555555555556,94.7460317460318,1,2.07936507936508,3.66666666666667,2.74603174603175,5.31746031746032,14.4761904761905,17.5555555555556,14.7142857142857,0.548874603174603,1.1753380952381,1.68488095238095,1.34784603174603,42.4833333333333,136.098888888889,193.478723428571,170.275442190476,0,0.633492063492064,2.05857142857143,1.97492063492064,0,1.3015873015873,10,7.3968253968254,0,0,0,0,0,-0.428571428571429,2.07936507936508,-0.349206349206349,0,-0.026031746031746,0.466666666666667,0.225079365079365,0,-4.99047619047619,-3.11424190476191,-7.57514555555556
qmof-f03e892,3.5344,37.2992,37.036,43.5032,729,1242,1026,1242,1,6,8,9,36,90,120,126,1.5876,5.5692,6.7536,7.6734,0,-8.56,-4.66,-6.22,0,116,178,197,0,0,0,0,0,21,28,33,0,3.14,4.72,5.25,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,10.5376,12.138,25.2748,28.3648,56.5,66,122.5,139,1,1.5,3,3.5,2.5,7.5,12,15,0.5477,0.85855,1.5525,1.84835,41.425,113.565,186.096307,229.376307,0,0.935,1.6,2.045,0,2,5.5,6.5,0,0,0,0,0,-2,-2,-3,0,-0.04,0.14,0.12,0,-6.9,-7.403555,-10.403555,5.73165714285714,7.21502857142857,10.9728571428571,14.0133714285714,30.9285714285714,36.7142857142857,59.7142857142857,64.7857142857143,0.5,0.785714285714286,1.14285714285714,1.64285714285714,1.5,3.35714285714286,4.78571428571429,7.14285714285714,0.268564285714286,0.417721428571429,0.634171428571429,0.819807142857143,15.95,40.2741202142857,60.4785714285714,86.6459532857143,0,0.441428571428571,0.642142857142857,1.37428571428571,0,1.28571428571429,1.42857142857143,4.57142857142857,0,0,0,0,0,-0.428571428571429,-0.928571428571429,-1.21428571428571,0,0.01,-0.028571428571429,0.087142857142857,0,-2.36479357142857,-4.41428571428572,-6.12396785714286
qmof-920fac3,3.5344,36.5472,38.352,72.3988,729,1215,1296,1755,1,6,8,15,36,90,144,186,1.5876,5.5944,7.7616,11.403,0,-8.16,-5.36,-10.31,0,117,168,340,0,0,0,0,0,21,24,59,0,3.12,3.92,9.85,288.14325,643.008,1032.665,1261.8,1173,2742,4031,4221,45.5,99,159,204,258,657,983,1104,19.46975,48.4869,73.9511,85.3018,10.9696,11.016,23.8602666666667,16.5093333333333,59,60,109.666666666667,80.3333333333333,1,1.33333333333333,2.66666666666667,2,2,6,8,6.66666666666667,0.542766666666666,0.759733333333333,1.295,1.03446666666667,36.98,95.6733333333333,127.015076,118.844204666667,0,0.92,1.31666666666667,1.63,0,2,5.66666666666667,5,0,0,0,0,0,-2,-1.33333333333333,-2.66666666666667,0,-0.04,0.22,0.066666666666667,0,-6.6,-3.37140666666667,-8.33570333333333,7.02506666666667,10.676,22.1597333333333,17.704,37.6666666666667,58,100.333333333333,67,0.666666666666667,1.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,10,14.3333333333333,11,0.365133333333333,0.764866666666667,1.315,1.03723333333333,27.6166666666667,103.583333333333,153.435076,129.025947333333,0,0.786666666666667,1.34666666666667,1.76,0,1.66666666666667,5.66666666666667,8,0,0,0,0,0,-0.666666666666667,1,0.666666666666667,0,-0.033333333333333,0.22,0.34,0,-5.9,-3.97140666666667,-3.70711
qmof-9f49103,3.5344,45.5712,37.036,58.2424,729,1296,1026,1512,1,8,8,12,64,160,160,192,1.5876,6.5016,6.7536,9.5256,0,-9.2,-4.66,-8.42,0,168,178,268,0,0,0,0,0,44,44,72,0,4.92,4.72,7.56,231.6062,464.2305,744.2296,937.209,935,1878,2650,2826,34,69,112,148,181,450,610,653,13.8698,32.4265,47.4476,54.95,10.5376,12.138,24.7428,19.868,56.5,66,105,93.5,1,1.5,3,2.5,2.5,7.5,10,10,0.5477,0.85855,1.4025,1.27835,41.425,113.565,160.962614,160.186307,0,0.935,1.775,1.8,0,2,8,6,0,0,0,0,0,-2,-1,-2.5,0,-0.04,0.34,0.13,0,-6.9,-4.00711,-8.453555,11.1856,13.3883333333333,24.9446,27.6623333333333,60.25,60.0833333333333,120.5,122.333333333333,1,1.66666666666667,2.75,3.41666666666667,3.5,9.08333333333333,11.8333333333333,15.9166666666667,0.5403,0.824716666666667,1.389275,1.66809166666667,34.7575,99.046934,137.058807,194.15200825,0,1.32916666666667,1.3325,2.86166666666667,0,4.66666666666667,5,10.1666666666667,0,0,0,0,0,-0.916666666666667,-0.583333333333333,-2.66666666666667,0,0.115,0.15,0.255,0,-5.59462916666667,-5.003555,-11.6481841666667
qmof-329a219,2.4025,30.752,31.62,66.588,625,1150,1200,2100,1,6,8,16,36,84,144,216,1.9321,6.1438,8.5624,14.6784,0,-10.54,-8,-18.16,0,104,152,316,0,0,0,0,0,22,24,60,0,3.92,4.96,11.68,91.2838,176.001,261.8652,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7333,12.7666,17.2678,16.611,10.9696,11.016,23.3637333333333,18.7386666666667,59,60,107.333333333333,82.6666666666667,1,1.33333333333333,2.66666666666667,2.33333333333333,2,6,8,7.33333333333333,0.542766666666667,0.759733333333333,1.3,1.12696666666667,36.98,95.6733333333333,136.635076,129.961742666667,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.33333333333333,-2.33333333333333,0,-0.04,0.213333333333333,0.193333333333333,0,-6.6,-4.67140666666667,-7.37140666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qmof-6c1d234,3.6481,37.8944,34.7429,57.3764,784,1288,1848,1960,1,6,7,10,36,84,132,144,1.4641,5.3482,7.0059,9.075,0,-8.38,-4.82,-10.94,0,122,130,210,0,0,0,0,0,22,20,36,0,2.84,2.68,4.6,137.636,262.038,421.0064,495.2864,599,1140,1622,1532,19,38,60,74,98,238,316,322,8.2587,18.4954,26.632,29.1238,10.9696,8.92853333333333,16.8176,14.3792,59,48.3333333333333,91,56,1,1,1.66666666666667,1.66666666666667,1,2.66666666666667,3.33333333333333,3.66666666666667,0.542766666666666,0.562233333333333,0.9175,0.7373,36.98,58.18,76.9066666666667,68.925122,0,0.593333333333334,0.593333333333334,1.55333333333333,0,1.33333333333333,1.33333333333333,6.33333333333333,0,0,0,0,0,-1.66666666666667,-1.66666666666667,-2,0,-0.026666666666667,-0.026666666666667,0.206666666666667,0,-4,-4,-4.17140666666667,9.2416,20.1248,34.8789333333333,28.0288,49,108.5,110.833333333333,112,1,2.5,4.83333333333333,3.33333333333333,6.83333333333333,21,26.1666666666667,14,0.5625,1.43625,1.98875,1.485,54.76,194.62,265.306970666667,152.510152,0,0.98,3.22,0.913333333333333,0,2,18,7.33333333333333,0,0,0,0,0,-0.5,5.33333333333333,5.33333333333333,0,-0.04,0.973333333333333,0.52,0,-7.8,-0.085626666666666,4.05718666666667
qmof-bbf4045,2.4025,28.272,31.62,45.26,625,1050,1200,1300,1,6,8,12,36,96,132,168,1.9321,6.255,8.5624,10.6196,0,-8.94,-8,-10.6,0,108,152,248,0,0,0,0,0,20,26,44,0,3.84,4.96,9.04,115.2873,242.3775,349.5012,402.7475,477,1032,1302,1226,18,37,54,65,91,219,294,295,7.845,18.0873,24.411,25.7641,9.2416,13.566,22.9368,19.722,49,73.5,94.5,63,1,1.75,3,2.75,3.25,9,12,9.75,0.5625,1.010625,1.425,1.138125,54.76,146.335,186.162614,154.553921,0,0.8575,1.575,1.8725,0,1.75,7.5,10.25,0,0,0,0,0,-1.5,-0.5,0,0,-0.035,0.35,0.545,0,-6.825,-2.95711,-0.535665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qmof-a89b009,2.4025,30.132,31.62,59.6905,625,1125,1200,1625,1,6,8,15,36,90,144,186,1.9321,6.1716,8.5624,12.5795,0,-10.14,-8,-15.26,0,105,152,310,0,0,0,0,0,21,24,59,0,3.9,4.96,11.8,259.49405,571.404,908.9645,1091.155,1052,2418,3491,3493,40.5,87,138,174,225,567,830,898,17.17405,42.2499,63.2558,70.754,10.5376,12.138,25.4876,15.992,56.5,66,108.5,72.5,1,1.5,3,2,2.5,7.5,10,7,0.5477,0.85855,1.395,0.9896,41.425,113.565,146.532614,118.376307,0,0.935,1.53,1.555,0,2,7.5,5.5,0,0,0,0,0,-2,-1,-2,0,-0.04,0.35,0.14,0,-6.9,-2.05711,-6.503555,10.5376,16.014,33.3194,32.94,56.5,87,158.375,124.125,1,2,4,4.375,5,15,23.375,22.125,0.5477,1.1473,2.049375,1.9486625,41.425,155.375,246.3269605,247.85615125,0,1.18,1.99375,3.2,0,2.5,7.375,14.75,0,0,0,0,0,-1,0.875,1.75,0,-0.05,0.2275,0.6425,0,-8.85,-8.1428325,-6.42583125
qmof-3a8aeef,3.5344,35.7952,49.7824,97.3088,729,1188,1674,2376,1,6,10,20,36,96,180,216,1.5876,5.6196,9.6516,15.1704,0,-7.76,-7.68,-14.16,0,118,208,452,0,0,0,0,0,20,30,84,0,3.1,4.94,13.16,122.2282,268.821,406.22,458.812,466,1080,1400,1288,20,42,64,76,106,258,352,360,8.1492,19.8506,27.9072,28.9716,10.2784,13.48544,26.79488,12.6768,55,72.8,110,33.6,1,1.6,3.2,1.8,2.8,8.4,10.4,6,0.55066,0.912,1.45232,0.6795,44.092,116.032,162.8391368,90.1951368,0,0.748,1.596,1.302,0,1.6,8.4,7.8,0,0,0,0,0,-2,0,0.6,0,-0.032,0.432,0.444,0,-5.52,-1.208532,1.131468,4.38784,6.97173333333333,6.31125333333333,0,23.6,37.3333333333333,34.1333333333333,0,0.4,0.666666666666667,0.533333333333333,0,1.46666666666667,2,0.533333333333333,0,0.217106666666667,0.365,0.284213333333333,0,14.792,26.1466666666667,14.9813333333333,0,0,-0.053333333333333,0,0,0,-0.133333333333333,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0.002666666666667,0,0,0,0.28,0,0
qmof-31eab7b,3.5344,37.2992,33.558,63.0364,729,1242,1134,1674,1,6,7,13,36,84,126,174,1.5876,5.5692,6.7914,10.4958,0,-8.56,-4.69,-9.09,0,116,147,289,0,0,0,0,0,22,21,49,0,3.14,3.43,8.05,202.05104,404.00544,656.87848,810.3206,1058.8,2233.6,3112,3396,29.2,60.8,96.8,124.4,157.6,392,557.6,610,13.35772,31.5072,47.0644,54.98572,10.9696,11.016,23.3637333333333,18.7386666666667,59,60,107.333333333333,82.6666666666667,1,1.33333333333333,2.66666666666667,2.33333333333333,2,6,8,7.33333333333333,0.542766666666666,0.759733333333333,1.3,1.12696666666667,36.98,95.6733333333333,136.635076,129.961742666667,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.33333333333333,-2.33333333333333,0,-0.04,0.213333333333333,0.193333333333333,0,-6.6,-4.67140666666667,-7.37140666666667,6.73857777777778,10.8130666666667,18.9047111111111,26.488,85.3333333333333,156.444444444444,156.444444444444,184.888888888889,0.666666666666667,1.33333333333333,2.22222222222222,3.55555555555556,4,8.88888888888889,13.7777777777778,19.5555555555556,0.468044444444444,1.01093333333333,1.43462222222222,2.03288888888889,96.12,188.826666666667,260.582222222222,379.055941333333,0,0.013333333333334,0.817777777777778,1.94666666666667,0,4.44444444444444,10.6666666666667,25.7777777777778,0,0,0,0,0,0.444444444444444,-0.888888888888889,0,0,0.111111111111111,0.186666666666667,0.728888888888889,0,3.6,1.86666666666666,9.77145777777777
qmof-0ea1d91,3.5344,22.8608,38.352,84.4496,729,756,1296,2376,1,4,8,16,16,48,96,128,1.5876,3.78,7.7616,13.2048,0,-4.64,-5.36,-14.84,0,80,168,344,0,0,0,0,0,4,8,32,0,2.04,3.92,9.68,70.8468,139.23,201.9686,170.093,309,612,782,512,10,20,28,26,48,108,126,90,4.4402,9.8252,12.5716,9.681,9.2416,15.504,34.1392,14.44,49,84,154,49,1,2,4,2,4,12,14,8,0.5625,1.155,1.965,0.855,54.76,167.24,210.952614,116.972614,0,0.98,0.93,1.33,0,2,6,7,0,0,0,0,0,-2,1,0,0,-0.04,0.38,0.36,0,-7.8,1.09289,-1.00711,11.8336,8.772,20.9152,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,78.44,119.78,0,0.89,0.8,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-4.2,-12
qmof-264d2ec,3.5344,24.3648,25.8124,35.4004,729,810,864,1188,1,4,5,7,16,40,52,88,1.5876,3.7296,4.8006,6.741,0,-5.44,-4.33,-5.67,0,78,103,145,0,0,0,0,0,6,7,6,0,2.08,2.49,3.47,106.651333333333,222.728266666667,363.904933333333,438.717666666667,429.333333333333,922.666666666667,1297.33333333333,1134.66666666667,16,33.3333333333333,56,71.3333333333333,89.3333333333333,229.333333333333,325.333333333333,293.333333333333,6.6096,15.8630666666667,23.8578666666667,24.5815333333333,10.1056,14.2530666666667,23.3656,23.1653333333333,54,76.6666666666667,126,95.3333333333333,1,1.66666666666667,2.66666666666667,3,3,7.66666666666667,12.3333333333333,12.3333333333333,0.552633333333333,0.947366666666667,1.51,1.41976666666667,45.87,112.216666666667,177.326666666667,181.617637,0,0.623333333333334,0.95,2.22,0,1.33333333333333,2,9,0,0,0,0,0,-1.33333333333333,-2.33333333333333,-2.66666666666667,0,-0.026666666666667,-0.04,0.32,0,-4.6,-7.2,-7.00711,6.16106666666667,12.3221333333333,10.336,10.336,32.6666666666667,65.3333333333333,56,56,0.666666666666667,1.33333333333333,1.33333333333333,1.33333333333333,2.66666666666667,5.33333333333333,8,8,0.375,0.75,0.77,0.77,36.5066666666667,73.0133333333333,111.493333333333,111.493333333333,0,0,0.653333333333334,0.653333333333334,0,0,1.33333333333333,1.33333333333333,0,0,0,0,0,0,-1.33333333333333,-1.33333333333333,0,0,-0.026666666666667,-0.026666666666667,0,0,-5.2,-5.2
qmof-0cad810,3.6481,37.8944,40.4283333333333,56.8161333333333,784,1288,1082.66666666667,1642.66666666667,1,6,8.66666666666667,11.3333333333333,36,92,124,156,1.4641,5.3482,6.78406666666667,9.1718,0,-8.38,-4.61333333333333,-8.1,0,122,204,258.666666666667,0,0,0,0,0,20.6666666666667,31.3333333333333,42,0,2.84,4.88,6.13333333333333,135.33695,264.537,407.2168,468.7375,612.5,1206,1720,1750,19,39,59,71,98,237,323,341,8.7595,19.7813,28.3343,31.1723,10.3216,12.053,24.3176666666667,20.2806666666667,55.25,65.5,102.666666666667,76.1666666666667,1,1.5,3,2.66666666666667,2.5,7.5,10.1666666666667,8.16666666666666,0.550166666666667,0.859833333333333,1.4075,1.17716666666667,43.6475,115.5425,167.567614,144.566383,0,0.901666666666667,1.7825,2.04833333333333,0,1.91666666666667,8,9.33333333333334,0,0,0,0,0,-2,-1.16666666666667,-1.5,0,-0.038333333333333,0.34,0.396666666666667,0,-6.725,-4.15711,-4.22496166666667,5.9168,4.386,10.3028,8.772,32,24,56,48,0.5,0.5,1,1,0.5,1.5,2,3,0.26645,0.28105,0.5475,0.5621,14.045,29.945,43.99,59.89,0,0.445,0.445,0.89,0,1,1,2,0,0,0,0,0,-1,-1,-2,0,-0.02,-0.02,-0.04,0,-3,-3,-6
qmof-0867910,2.4025,31.1653333333333,29.5533333333333,71.176,625,1166.66666666667,1833.33333333333,2400,1,6,8,16,36,96,168,224,1.9321,6.12526666666667,9.71146666666667,15.2714666666667,0,-10.8066666666667,-6.66666666666667,-21.12,0,103.333333333333,126.666666666667,304,0,0,0,0,0,20,20,58.6666666666667,0,3.93333333333333,4.13333333333333,11.2533333333333,182.90775,381.582,602.086,695.7425,784.5,1674,2422,2342,27,57,89,109,146,363,521,541,11.8915,28.2205,41.6881,45.3529,10.5376,12.138,25.4876,15.992,56.5,66,108.5,72.5,1,1.5,3,2,2.5,7.5,10,7,0.5477,0.85855,1.395,0.9896,41.425,113.565,146.532614,118.376307,0,0.935,1.53,1.555,0,2,7.5,5.5,0,0,0,0,0,-2,-1,-2,0,-0.04,0.35,0.14,0,-6.9,-2.05711,-6.503555,10.5376,16.014,33.2396,26.556,56.5,87,150.5,100.5,1,2,4,3.5,5,15,21.5,16.5,0.5477,1.1473,1.9725,1.55585,41.425,155.375,230.152614,193.538921,0,1.18,2.02,2.64,0,2.5,8.5,12,0,0,0,0,0,-1,1.5,1,0,-0.05,0.33,0.51,0,-8.85,-5.95711,-5.560665
qmof-f75536d,3.5344,34.0656,33.558,66.27,729,1134,1134,1782,1,5.5,7,13.5,30.5,72,115.5,162,1.5876,5.1093,6.7914,10.9557,0,-7.78,-4.69,-9.87,0,106.5,147,298.5,0,0,0,0,0,17.5,17.5,44.5,0,2.875,3.43,8.315,176.7488,373.3455,578.5242,678.495,850,1728,2508,2465,27,57,88,107,145,357,496,503,11.94765,28.3899,41.3996,44.4021,10.5376,12.138,24.7428,19.336,56.5,66,105,76,1,1.5,3,2.5,2.5,7.5,10,8,0.5477,0.858550000000001,1.4025,1.12835,41.425,113.565,160.962614,135.052614,0,0.935,1.775,1.975,0,2,8,8.5,0,0,0,0,0,-2,-1,-1.5,0,-0.04,0.34,0.33,0,-6.9,-4.00711,-5.05711,9.245,14.2545,28.8917,45.537,160,138,278,304,1,1.875,3.75,6.25,3.625,10.875,21.5,26.75,0.78665,1.2772375,2.550825,3.337025,202.225,271.62375,539.2725,666.5169585,0,0.808750000000001,1.50625,3.8575,0,11.75,23.25,49,0,0,0,0,0,-2,-3.75,-1.5,0,0.215,0.435,1.62,0,2.85,6.44999999999999,21.782225
qmof-b024a31,2.4025,28.272,38.5795,54.8545,625,1050,1975,1850,1,6,9,13,36,96,156,180,1.9321,6.255,10.3277,12.6351,0,-8.94,-10.94,-15.24,0,108,146,251,0,0,0,0,0,20,28,48,0,3.84,5.08,8.98,27.7248,36.9664,18.4832,0,147,196,98,0,3,4,2,0,6,8,2,0,1.6875,2.25,1.125,0,9.2416,11.8256,16.1424,11.9978666666667,49,63,77,25.6666666666667,1,1.33333333333333,2,1.66666666666667,2,5.33333333333333,8,4.66666666666667,0.5625,0.755,1.045,0.5575,54.76,82.6333333333333,131.244204666667,62.7234853333333,0,0.163333333333333,0.77,1.12,0,0.333333333333333,3,8,0,0,0,0,0,-1.33333333333333,-1,1,0,-0.006666666666667,0.106666666666667,0.506666666666667,0,-1.3,-2.93570333333333,3.85718666666667,9.2416,19.0304,16.4768,10.1232,49,101.5,59.5,35,1,2.16666666666667,2.16666666666667,1.33333333333333,5.16666666666667,11.3333333333333,12.1666666666667,7,0.5625,1.22875,0.94375,0.565,54.76,137.886666666667,116.479280666667,68.3617426666667,0,0.326666666666667,1.16666666666667,0.723333333333333,0,0.666666666666667,6.66666666666667,4.33333333333333,0,0,0,0,0,0.833333333333333,2,1.66666666666667,0,-0.013333333333333,0.366666666666667,0.246666666666667,0,-2.6,0.29289,0.628593333333333
qmof-412a7c1,3.5344,38.0512,35.8328,100.204,729,1269,2430,3132,1,6,8,18,36,84,180,252,1.5876,5.544,8.9964,16.002,0,-8.96,-4.02,-19.46,0,115,126,370,0,0,0,0,0,22,18,66,0,3.16,2.94,9.98,100.427333333333,190.366,287.016933333333,310.843666666667,447.333333333333,848,1165.33333333333,1062.66666666667,14,28,41.3333333333333,47.3333333333333,69.3333333333333,164,212,195.333333333333,6.29633333333333,13.9318666666667,19.1934666666667,19.3004666666667,11.2576,10.268,22.4443555555556,18.3404444444444,60.6666666666667,56,108.888888888889,87.1111111111111,1,1.22222222222222,2.44444444444444,2.22222222222222,1.66666666666667,5,6.66666666666667,6.88888888888889,0.539477777777778,0.693855555555556,1.23166666666667,1.12604444444445,34.0166666666667,83.7455555555555,120.416717333333,126.567828444445,0,0.910000000000001,1.28333333333333,1.86666666666667,0,2,4.66666666666667,6,0,0,0,0,0,-2,-1.55555555555556,-2.88888888888889,0,-0.04,0.128888888888889,0.102222222222222,0,-6.4,-5.11427111111111,-8.91427111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
