mof_id,rac_0,rac_1,rac_2,rac_3,rac_4,rac_5,rac_6,rac_7,rac_8,rac_9,rac_10,rac_11,rac_12,rac_13,rac_14,rac_15,rac_16,rac_17,rac_18,rac_19,rac_20,rac_21,rac_22,rac_23,rac_24,rac_25,rac_26,rac_27,rac_28,rac_29,rac_30,rac_31,rac_32,rac_33,rac_34,rac_35,rac_36,rac_37,rac_38,rac_39,rac_40,rac_41,rac_42,rac_43,rac_44,rac_45,rac_46,rac_47,rac_48,rac_49,rac_50,rac_51,rac_52,rac_53,rac_54,rac_55,rac_56,rac_57,rac_58,rac_59,rac_60,rac_61,rac_62,rac_63,rac_64,rac_65,rac_66,rac_67,rac_68,rac_69,rac_70,rac_71,rac_72,rac_73,rac_74,rac_75,rac_76,rac_77,rac_78,rac_79,rac_80,rac_81,rac_82,rac_83,rac_84,rac_85,rac_86,rac_87,rac_88,rac_89,rac_90,rac_91,rac_92,rac_93,rac_94,rac_95,rac_96,rac_97,rac_98,rac_99,rac_100,rac_101,rac_102,rac_103,rac_104,rac_105,rac_106,rac_107,rac_108,rac_109,rac_110,rac_111,rac_112,rac_113,rac_114,rac_115,rac_116,rac_117,rac_118,rac_119,rac_120,rac_121,rac_122,rac_123,rac_124,rac_125,rac_126,rac_127,rac_128,rac_129,rac_130,rac_131,rac_132,rac_133,rac_134,rac_135,rac_136,rac_137,rac_138,rac_139,rac_140,rac_141,rac_142,rac_143,rac_144,rac_145,rac_146,rac_147,rac_148,rac_149,rac_150,rac_151,rac_152,rac_153,rac_154,rac_155,prediction,metal_x,CN_metal_x,CN_metal_round,formula,volume,density,n_atoms,metal_y,CN_metal_y,spacegroup,spg_number
qmof-9bb222f,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,144,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,48,0,3.14,6.5,7.56,125.3113,248.676,368.2002,407.456,508,1020,1308,1088,19,38,56,66,94,222,280,272,7.9227,18.0334,24.244,24.1526,10.5376,12.138,24.7428,18.734,56.5,66,105,56,1,1.5,3,2.5,2.5,7.5,10,7,0.5477,0.85855,1.4025,0.98235,41.425,113.565,160.962614,117.0514555,0,0.935,1.775,2.15,0,2,8,11,0,0,0,0,0,-2,-1,-0.5,0,-0.04,0.34,0.53,0,-6.9,-4.00711,-1.660665,5.9168,4.386,10.3028,8.17,32,24,56,28,0.5,0.5,1,1,0.5,1.5,2,2,0.26645,0.28105,0.5475,0.4161,14.045,29.945,43.99,41.8888415,0,0.445,0.445,1.065,0,1,1,4.5,0,0,0,0,0,-1,-1,-1,0,-0.02,-0.02,0.16,0,-3,-3,-2.603555,0.449404759,Co,6,6,Co4 H72 C72 N8 O24,2223.457318,1.24654028,180,Co,6,P-1,2
qmof-ce36f66,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,144,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,48,0,3.14,6.5,7.56,125.3113,248.676,368.2002,407.456,508,1020,1308,1088,19,38,56,66,94,222,280,272,7.9227,18.0334,24.244,24.1526,10.5376,12.138,24.7428,18.734,56.5,66,105,56,1,1.5,3,2.5,2.5,7.5,10,7,0.5477,0.85855,1.4025,0.98235,41.425,113.565,160.962614,117.0514555,0,0.935,1.775,2.15,0,2,8,11,0,0,0,0,0,-2,-1,-0.5,0,-0.04,0.34,0.53,0,-6.9,-4.00711,-1.660665,5.9168,4.386,10.3028,8.17,32,24,56,28,0.5,0.5,1,1,0.5,1.5,2,2,0.26645,0.28105,0.5475,0.4161,14.045,29.945,43.99,41.8888415,0,0.445,0.445,1.065,0,1,1,4.5,0,0,0,0,0,-1,-1,-1,0,-0.02,-0.02,0.16,0,-3,-3,-2.603555,0.449404759,Co,6,6,Co1 H18 C18 N2 O6,476.4031704,1.454455637,45,Co,6,P-1,2
qmof-ab5d6dc,3.5344,34.2912,45.5712,61.7392,729,1134,2133,1836,1,6,9,12,36,96,156,156,1.5876,5.67,9.2484,10.4832,0,-6.96,-7.32,-10.28,0,120,164,256,0,0,0,0,0,20,28,46,0,3.06,4,6.8,81.479,172.4012,251.7096,291.8471,342.5,746,975,968,12.5,26,39,47,65,160,227,238,5.51125,12.829,18.0575,19.2887,9.2416,11.32906667,16.1424,13.06186667,49,60.66666667,77,60.66666667,1,1.333333333,2,1.666666667,2,5.333333333,7.333333333,8,0.5625,0.76,1.045,0.8575,54.76,92.25333333,131.2442047,112.9908713,0,0.326666667,0.77,0.77,0,0.666666667,3,3,0,0,0,0,0,-1.333333333,-0.666666667,-0.666666667,0,-0.013333333,0.106666667,0.106666667,0,-2.6,-2.935703333,-2.935703333,6.161066667,10.78186667,1.540266667,0,32.66666667,57.16666667,8.166666667,0,0.666666667,1.166666667,0.166666667,0,2.166666667,2.333333333,0.166666667,0,0.375,0.65625,0.09375,0,36.50666667,63.88666667,9.126666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0.994571366,Co,6,6,Co2 H16 C24 N16,585.5166641,1.833084916,58,Co,6,P-1,2
qmof-c8f0292,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,156,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,46,0,3.14,6.5,7.56,171.3195,360.3362,582.8812,675.15,681,1478,2050,1800,26,54,88,106,142,352,474,458,10.6442,25.5186,37.4368,38.6558,10.5376,12.138,24.7428,22.518,56.5,66,105,60,1,1.5,3,3,2.5,7.5,10.5,8,0.5477,0.85855,1.4025,1.1174,41.425,113.565,160.962614,128.995297,0,0.935,1.775,2.77,0,2,8,14.5,0,0,0,0,0,-2,-1.5,-1,0,-0.04,0.34,0.71,0,-6.9,-4.00711,-1.26422,10.1056,16.83706667,31.64453333,36.49466667,54,90.66666667,142.3333333,107.6666667,1,2,4,5,4.666666667,14,23.33333333,20.33333333,0.552633333,1.139866667,1.99,1.977433333,45.87,140.09,257.792614,253.077888,0,0.786666667,2.28,3.9,0,1.666666667,9,21,0,0,0,0,0,-1.333333333,-1,1,0,-0.033333333,0.32,1.08,0,-5.9,-8.20711,-1.22133,0.366858584,Co,6,6,Co2 H48 C44 N12 O12,1093.27456,1.60208842,118,Co,6,P2_1/c,14
qmof-923ce21,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,144,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,48,0,3.14,6.5,7.56,170.3968,354.45,550.2106,618.618,923,1740,2464,2628,26,54,84,98,138,332,446,454,11.5781,26.9962,38.877,41.7832,10.5376,12.138,24.7428,19.868,56.5,66,105,93.5,1,1.5,3,2.5,2.5,7.5,10,11,0.5477,0.85855,1.4025,1.27835,41.425,113.565,160.962614,160.186307,0,0.935,1.775,1.8,0,2,8,6,0,0,0,0,0,-2,-1,-3,0,-0.04,0.34,0.13,0,-6.9,-4.00711,-8.453555,9.243866667,12.478,27.66466667,26.79433333,123,108,217,236.3333333,1,1.666666667,3.666666667,3.666666667,3,9.666666667,14,19.33333333,0.711933333,1.095966667,2.1277,2.353733333,153.07,221.8566667,396.3361607,500.0308713,0,0.643333333,1.176666667,1.413333333,0,8,20,21,0,0,0,0,0,-2.333333333,-1,-4,0,0.14,0.7,0.496666667,0,0.8,11.69289,6.564296667,-0.020718561,Co,6,6,Co1 H22 C24 S2 N4 O6,601.1756682,1.617289851,59,Co,6,P-1,2
qmof-47c58b4,3.5344,37.2992,45.3644,87.4012,729,1242,1917,2484,1,6,10,17,36,96,174,228,1.5876,5.5692,9.3114,14.2254,0,-8.56,-5.33,-14.53,0,116,199,367,0,0,0,0,0,20,31,64,0,3.14,5.21,10.13,107.4663,211.446,328.1352,348.228,435,864,1182,1116,16,32,50,54,82,192,250,242,6.6,15.092,21.0306,21.8218,10.7536,11.577,24.05326667,19.924,57.75,63,106.1666667,108.5,1,1.416666667,2.833333333,2.416666667,2.25,6.75,9,11.83333333,0.545233333,0.809141667,1.35125,1.377658333,39.2025,104.6191667,148.798845,174.3966667,0,0.9275,1.6275,1.650833333,0,2,7,3.583333333,0,0,0,0,0,-2,-1.166666667,-4,0,-0.04,0.276666667,-0.071666667,0,-6.75,-4.339258333,-11.875,5.9168,4.386,10.3028,8.772,32,24,56,48,0.5,0.5,1,1,0.5,1.5,2,3,0.26645,0.28105,0.5475,0.5621,14.045,29.945,43.99,59.89,0,0.445,0.445,0.89,0,1,1,2,0,0,0,0,0,-1,-1,-2,0,-0.02,-0.02,-0.04,0,-3,-3,-6,-1.178432429,Co,6,6,Co4 H52 C56 N8 O18,1552.937993,1.455074887,138,Co,6,C2/c,15
qmof-4994fff,3.5344,36.29653333,41.548,66.79013333,729,1206,1404,2160,1,6,8.666666667,14,36,92,156,180,1.5876,5.6028,8.4084,11.9196,0,-8.026666667,-5.806666667,-9.206666667,0,117.3333333,182,298,0,0,0,0,0,20.66666667,26,54,0,3.113333333,4.246666667,8.18,131.5293,270.555,411.9666,425.6274,811,1476,2140,1914,19,40,60,64,100,240,322,294,9.2518,21.1596,30.2864,28.827,10.3936,12.512,25.69564444,25.16853333,55.66666667,68,135.3333333,110,1,1.555555556,3.111111111,3,2.666666667,8,12,9.555555556,0.549344444,0.891488889,1.611666667,1.432322222,42.90666667,119.5288889,204.7328538,156.1645458,0,0.94,1.711111111,1.523333333,0,2,4.222222222,7,0,0,0,0,0,-2,-1.555555556,-0.777777778,0,-0.04,0.148888889,0.304444444,0,-7,-8.60474,-3.128542222,8.813,12.087,25.39033333,23.4629,157.5,126,237,212.5,1,1.666666667,3.333333333,3,3,9,14,13.66666667,0.791583333,1.165266667,2.13785,1.969216667,206.67,267.0566667,429.7823003,408.3721023,0,0.49,0.608333333,0.645,0,11,21.66666667,17,0,0,0,0,0,-2,-1.666666667,-2.333333333,0,0.23,0.641666667,0.418333333,0,4.8,15.596445,9.332148333,0.125063021,Co,6,6,Co6 H60 C108 S12 N24 O24,2961.693916,1.578940904,234,Co,6,C2/c,15
qmof-4f2905b,3.5344,35.7952,45.308,45.4208,729,1188,1080,1620,1,6,10,10,36,96,120,108,1.5876,5.6196,7.686,8.316,0,-7.76,-5.3,-5.36,0,118,230,210,0,0,0,0,0,20,40,42,0,3.1,6.5,6,237.8064,535.5,930.506,1160.8292,792,1944,2660,2666,40,84,148,194,232,592,872,1002,14.4744,37.1756,57.0924,66.6954,9.2416,10.336,14.85546667,7.042666667,49,56,107.3333333,18.66666667,1,1.333333333,2,1,2,5.333333333,6,3.333333333,0.5625,0.77,1.08,0.3775,54.76,111.4933333,173.6884093,50.10840933,0,0.653333333,1.193333333,0.723333333,0,1.333333333,-1.333333333,4.333333333,0,0,0,0,0,-1.333333333,0,0.333333333,0,-0.026666667,0.06,0.246666667,0,-5.2,-8.671406667,0.628593333,7.518133333,12.138,26.3568,17.16586667,187,106,130.6666667,53.66666667,1,1.666666667,3.666666667,2.333333333,3.666666667,13.33333333,17.66666667,13,0.8811,1.1011,1.6425,0.9425,269.16,229.7666667,246.0318947,118.470152,0,0.51,1.863333333,1.446666667,0,7.666666667,19,8.666666667,0,0,0,0,0,-1.666666667,3.333333333,2.666666667,0,0.146666667,0.92,0.493333333,0,1.5,9.88578,1.257186667,0.139181902,Co,6,6,Co1 H24 C18 S2 N6 O2,556.6149301,1.430439828,53,Co,6,P-1,2
qmof-cc4910d,3.5344,35.7952,38.352,66.4392,729,1188,1296,2322,1,6,8,14,36,84,132,180,1.5876,5.6196,7.7616,12.1464,0,-7.76,-5.36,-9.02,0,118,168,292,0,0,0,0,0,22,26,54,0,3.1,3.92,8,242.1136,525.708,889.6804,1121.6612,916,2088,2968,3242,38,80,136,178,216,548,788,866,14.9926,37.1448,56.484,66.5722,9.6736,9.214,13.24706667,9.369333333,51.5,50,108.3333333,41.33333333,1,1.166666667,1.666666667,1.166666667,1.5,3.833333333,4.333333333,4,0.557566667,0.671183333,0.979933333,0.563483333,50.315,93.60166667,151.2158713,64.98087133,0,0.638333333,0.965,0.955,0,1.333333333,-3.166666667,3.5,0,0,0,0,0,-1.333333333,-0.666666667,-1.5,0,-0.026666667,-0.07,0.096666667,0,-4.9,-9.685703333,-3.685703333,7.518133333,12.138,25.384,17.16586667,187,106,144.6666667,53.66666667,1,1.666666667,3.333333333,2.333333333,3.666666667,12.33333333,16.66666667,13,0.8811,1.1011,1.64,0.9425,269.16,229.7666667,236.870152,118.470152,0,0.51,1.17,1.446666667,0,7.666666667,14.66666667,8.666666667,0,0,0,0,0,-1.333333333,2.666666667,2.666666667,0,0.146666667,0.673333333,0.493333333,0,1.5,8.657186667,1.257186667,0.234502903,Co,6,6,Co1 H16 C18 S2 N6 O2,457.9090225,1.709541277,45,Co,6,P-1,2
qmof-b808abd,3.6481,21.4684,29.223,41.3706,784,1288,1008,1176,1,4,6,8,16,40,72,72,1.4641,4.2834,5.5902,6.3888,0,-3.6,-3.84,-6.38,0,66,132,182,0,0,0,0,0,6,6,14,0,1.3,2.64,4.4,104.7369,230.052,345.1174,337.1028,685,1146,1764,1658,15,32,48,48,80,192,258,220,7.365,16.5722,24.0928,22.6914,7.949,11.0415,22.9279,27.0078,152.5,90,174,260.5,1,1.5,3,3.5,2.5,7.5,12.5,10,0.80145,0.9702,1.7727,2.25165,215.56,193.23,309.066307,434.216307,0,0.505,0.695,0.45,0,6,13.5,13,0,0,0,0,0,-2,-2.5,-1.5,0,0.105,0.43,0.44,0,0.15,7.596445,9.546445,9.2416,18.582,30.2404,26.5468,49,78.75,171.5,106.75,1,2.5,3.5,3.5,6.5,15,19,18,0.5625,1.21875,1.959375,1.63875,54.76,171.3494605,230.1531535,215.4057675,0,1.4875,0.6925,1.9075,0,6.25,0,9.25,0,0,0,0,0,0.5,0.5,0.5,0,0.25,0.0125,0.44,0,-4.6553325,-5.2017775,-3.2088875,-0.172561598,Ni,4,4,Ni1 H8 C10 S2 N10,363.3043022,1.787405027,31,Ni,4,P-1,2
